team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
UC Santa Barbara,116.67,111.07,0.637614,63.92,5.59,56.1,54.0,18.6,18.1,32.7,26.1,37.0,42.7,-4.421,0,2026-02-09
Arkansas Pine Bluff,105.66,114.47,0.284745,70.03,-8.81,49.2,53.5,19.5,15.9,27.5,34.7,38.0,46.3,-7.163,0,2026-02-09
Toledo,111.68,111.62,0.501534,68.32,0.06,52.6,55.0,15.6,18.9,30.4,35.9,33.1,27.3,-7.555,0,2026-02-09
Indiana,123.48,99.95,0.919213,66.54,23.53,55.7,46.9,14.8,16.0,28.7,29.1,36.0,37.6,1.316,0,2026-02-09
Louisiana,101.04,111.44,0.244787,62.17,-10.4,48.2,51.8,18.1,17.5,28.1,31.8,26.5,45.8,-12.171,0,2026-02-09
Central Michigan,105.74,116.0,0.256501,66.71,-10.25,50.8,54.8,17.9,16.0,28.9,34.5,31.0,40.6,-12.311,0,2026-02-09
Brown,96.23,105.54,0.256866,65.97,-9.31,47.2,50.4,18.3,18.2,28.9,29.2,27.0,36.4,-11.28,0,2026-02-09
Wright St.,113.42,107.74,0.643759,66.16,5.69,53.9,52.2,16.4,17.1,33.0,30.1,37.2,34.6,-5.414,0,2026-02-09
UC Irvine,104.35,98.93,0.648735,68.31,5.42,48.5,44.7,17.2,18.4,30.4,32.2,38.0,29.3,-4.147,0,2026-02-09
Montana,107.15,105.43,0.546415,69.14,1.72,56.5,50.7,20.2,15.3,22.6,30.2,36.6,32.7,-6.49,0,2026-02-09
UAB,109.18,107.07,0.555987,69.57,2.11,48.4,50.1,12.8,16.5,33.5,27.2,38.1,30.6,-4.813,0,2026-02-09
Tulane,107.23,109.72,0.434472,66.71,-2.49,49.8,51.2,15.4,18.1,22.0,35.9,45.0,37.6,-6.214,0,2026-02-09
FIU,108.47,108.64,0.495439,72.01,-0.17,50.6,52.0,17.0,19.5,32.2,36.0,40.9,35.1,-7.643,0,2026-02-09
BYU,124.81,102.6,0.904885,69.7,22.2,55.6,49.4,15.1,16.4,35.4,28.5,35.6,28.4,3.382,0,2026-02-09
Illinois Chicago,107.79,104.05,0.600129,65.87,3.74,47.9,49.8,18.1,20.4,36.8,34.4,38.9,36.0,-7.004,0,2026-02-09
Xavier,113.22,105.7,0.68791,70.33,7.52,51.1,53.2,14.3,17.0,26.2,29.0,28.1,32.7,-2.641,0,2026-02-09
Charlotte,112.28,112.45,0.495711,63.22,-0.17,53.1,51.2,18.5,14.6,35.0,32.0,39.0,39.9,-6.384,0,2026-02-09
Canisius,95.44,114.39,0.110765,63.77,-18.95,46.2,53.6,19.6,16.6,29.7,30.5,31.9,33.7,-13.913,0,2026-02-09
Wake Forest,115.02,103.83,0.764428,68.96,11.19,52.4,52.3,15.8,19.9,30.1,33.4,33.3,38.5,-2.918,0,2026-02-09
Florida Atlantic,111.86,104.64,0.682778,70.28,7.21,53.1,50.2,18.1,16.7,33.0,28.5,33.2,37.3,-4.756,0,2026-02-09
Northeastern,108.14,117.53,0.277489,69.76,-9.38,52.9,56.1,16.6,18.0,27.5,32.4,31.0,40.2,-12.908,0,2026-02-09
Robert Morris,108.99,111.82,0.426712,64.88,-2.83,54.0,51.1,18.9,15.8,37.3,28.9,28.4,43.0,-6.445,0,2026-02-09
Seattle,100.94,96.28,0.632593,67.96,4.66,49.6,47.9,17.5,21.5,25.0,33.4,33.3,33.4,-4.417,0,2026-02-09
Villanova,121.17,99.64,0.904655,63.43,21.53,54.6,50.4,15.5,18.7,34.8,32.4,32.1,28.7,3.149,0,2026-02-09
Howard,99.28,105.51,0.331884,68.77,-6.23,48.0,48.2,20.6,21.4,35.1,32.0,42.8,40.3,-6.33,0,2026-02-09
Utah St.,122.86,100.73,0.907473,67.81,22.12,57.6,48.6,16.3,21.3,35.6,30.9,37.9,38.9,3.365,0,2026-02-09
Marist,100.5,99.9,0.51712,65.81,0.6,50.7,44.3,17.1,20.0,28.0,28.1,26.3,37.3,-5.76,0,2026-02-09
Portland St.,103.54,101.39,0.559912,67.16,2.15,51.7,47.2,18.4,18.4,32.1,28.0,36.0,46.6,-2.77,0,2026-02-09
Denver,115.12,120.76,0.36569,68.31,-5.65,53.6,56.0,14.7,12.9,29.6,34.2,33.9,35.8,-8.498,0,2026-02-09
Cal St. Northridge,109.01,109.05,0.498832,73.44,-0.05,52.2,52.1,18.1,16.0,32.0,26.0,35.9,35.0,-5.816,0,2026-02-09
Maryland,111.0,107.63,0.587553,66.75,3.36,48.1,55.7,18.3,16.5,32.8,31.4,40.0,35.3,-3.454,0,2026-02-09
Rice,109.23,113.67,0.387478,65.09,-4.44,48.2,51.5,18.5,16.4,36.1,35.2,35.7,39.8,-9.353,0,2026-02-09
Abilene Christian,101.16,108.61,0.30656,65.99,-7.44,47.4,55.9,20.8,22.9,32.3,31.3,37.4,53.1,-8.231,0,2026-02-09
Rider,97.83,120.87,0.080765,64.63,-23.04,42.9,55.1,18.1,13.5,34.0,33.8,31.6,32.1,-15.111,0,2026-02-09
Boston College,102.12,99.51,0.573862,65.64,2.61,46.7,47.1,15.4,15.4,27.9,29.2,34.0,34.4,-7.062,0,2026-02-09
Arizona,124.86,89.93,0.977546,71.07,34.93,56.3,44.6,15.7,18.0,39.3,25.1,43.3,28.2,8.516,0,2026-02-09
Penn St.,115.65,111.87,0.594465,67.22,3.78,53.1,58.4,14.3,18.2,27.7,31.5,32.7,26.5,-5.022,0,2026-02-09
Hawaii,106.58,98.21,0.719269,69.59,8.37,52.7,44.4,19.4,17.2,32.2,26.0,42.0,35.3,-2.171,0,2026-02-09
San Diego,107.81,111.12,0.414013,69.17,-3.31,50.5,54.5,17.5,19.6,28.4,36.7,26.9,38.7,-9.51,0,2026-02-09
UC Davis,109.08,109.03,0.501179,68.62,0.05,53.1,52.1,18.3,19.2,27.1,31.3,41.7,39.3,-4.881,0,2026-02-09
LSU,119.67,106.22,0.79759,66.23,13.45,54.3,49.7,15.7,15.0,33.5,31.1,42.4,35.8,-1.405,0,2026-02-09
Fresno St.,104.02,101.33,0.57463,68.22,2.69,50.2,50.5,19.3,19.6,27.9,30.3,35.8,30.9,-6.118,0,2026-02-09
UMKC,95.11,115.2,0.099411,68.88,-20.09,46.5,55.6,19.2,16.6,28.2,36.0,29.8,32.5,-15.54,0,2026-02-09
Baylor,120.48,104.8,0.832583,67.78,15.69,54.2,50.0,16.6,16.0,37.2,32.5,36.1,29.3,-0.605,0,2026-02-09
Oral Roberts,99.11,114.89,0.154587,67.42,-15.78,47.9,55.4,18.7,14.6,27.2,33.2,34.9,41.1,-15.262,0,2026-02-09
Ohio,106.82,111.23,0.385664,69.03,-4.41,51.2,52.5,16.6,17.2,29.2,33.3,36.6,37.2,-7.678,0,2026-02-09
Winthrop,111.23,111.0,0.505912,68.71,0.23,50.5,51.2,14.6,17.0,33.7,29.2,43.6,38.5,-3.558,0,2026-02-09
Northern Illinois,98.84,110.88,0.210463,67.36,-12.04,48.7,53.8,22.2,17.1,33.5,31.4,38.9,42.2,-9.844,0,2026-02-09
Georgia Tech,108.35,105.94,0.564264,70.83,2.41,50.5,48.1,18.4,15.3,30.9,29.6,34.6,34.1,-5.908,0,2026-02-09
Kent St.,108.76,107.44,0.535085,70.53,1.32,51.6,51.8,19.2,16.0,36.8,29.6,43.6,37.6,-3.011,0,2026-02-09
High Point,115.95,108.7,0.677369,69.09,7.24,54.9,51.2,12.6,22.8,31.6,31.7,43.7,34.6,-1.978,0,2026-02-09
Weber St.,109.56,113.37,0.402929,68.78,-3.81,51.5,54.2,16.1,17.0,32.4,28.5,40.8,37.6,-8.85,0,2026-02-09
Maine,92.91,112.53,0.099381,64.39,-19.63,49.5,50.5,19.6,19.5,21.1,36.2,37.2,34.5,-15.946,0,2026-02-09
Radford,106.77,113.83,0.323873,71.02,-7.06,51.4,53.2,17.2,18.4,29.6,32.6,41.9,44.2,-9.009,0,2026-02-09
Kansas,120.68,93.05,0.952144,67.03,27.63,54.4,44.5,15.1,13.7,28.1,29.1,33.7,26.0,5.132,0,2026-02-09
