team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
UC Santa Barbara,117.12,112.53,0.612957,63.85,4.59,56.1,54.7,18.2,18.2,32.5,26.1,36.7,42.5,-5.314,0,2026-02-15
Arkansas Pine Bluff,105.19,114.39,0.276002,69.88,-9.2,49.5,52.6,19.6,16.0,27.4,35.1,38.5,44.6,-8.236,0,2026-02-15
Toledo,112.41,112.57,0.495825,68.19,-0.16,52.9,54.8,15.3,18.4,30.1,35.3,33.3,27.4,-8.355,0,2026-02-15
Indiana,124.62,101.0,0.918049,66.74,23.61,56.2,47.0,14.8,15.7,28.5,29.0,36.6,37.9,1.362,0,2026-02-15
Louisiana,101.14,111.52,0.245404,62.57,-10.38,47.8,51.8,17.9,17.9,27.9,31.7,27.2,45.8,-13.162,0,2026-02-15
Central Michigan,106.86,114.38,0.313772,66.82,-7.52,51.6,53.8,17.7,16.4,28.9,34.4,30.4,41.0,-12.341,0,2026-02-15
Brown,96.29,105.67,0.255555,66.24,-9.38,47.7,50.6,18.7,18.7,28.8,28.7,27.3,37.3,-12.074,0,2026-02-15
Wright St.,113.23,108.3,0.625045,66.21,4.92,53.6,52.4,16.2,17.1,33.0,30.2,36.9,33.8,-6.432,0,2026-02-15
UC Irvine,104.2,98.86,0.647047,68.54,5.35,49.1,44.9,17.5,18.6,30.2,32.0,36.2,28.5,-5.116,0,2026-02-15
Montana,107.75,106.36,0.537279,69.15,1.39,56.3,51.1,20.0,15.0,22.5,29.7,36.3,32.9,-7.428,0,2026-02-15
UAB,108.97,106.06,0.577358,69.53,2.92,48.2,50.1,12.6,16.6,33.2,27.2,37.3,30.0,-4.435,0,2026-02-15
Tulane,107.5,109.21,0.454673,66.91,-1.71,50.1,50.6,15.6,17.8,22.2,35.5,46.7,38.0,-6.281,0,2026-02-15
FIU,107.89,108.86,0.474152,72.01,-0.97,50.5,52.1,17.2,19.9,33.0,35.4,39.1,34.2,-8.732,0,2026-02-15
BYU,125.4,103.55,0.900433,70.02,21.85,55.7,49.8,15.0,16.1,34.8,28.3,36.0,28.7,4.016,0,2026-02-15
Illinois Chicago,108.24,103.89,0.615803,66.02,4.35,48.1,50.0,17.8,20.3,36.7,34.1,38.4,35.7,-6.946,0,2026-02-15
Xavier,114.71,105.72,0.718788,70.38,8.99,51.3,53.0,14.0,16.6,26.4,29.1,27.9,33.2,-2.936,0,2026-02-15
Charlotte,112.49,112.89,0.489649,63.37,-0.41,53.1,51.2,18.5,14.6,35.0,32.0,39.0,39.9,-6.625,0,2026-02-15
Canisius,95.82,114.8,0.111232,63.8,-18.98,46.4,53.5,19.7,16.6,29.8,30.1,31.3,34.3,-14.974,0,2026-02-15
Wake Forest,115.75,103.83,0.777146,68.54,11.91,52.7,52.1,15.7,19.6,29.7,32.9,34.8,36.9,-2.529,0,2026-02-15
Florida Atlantic,111.54,105.58,0.652961,70.38,5.97,52.7,50.4,18.0,16.3,33.1,28.2,33.5,37.0,-5.868,0,2026-02-15
Northeastern,108.07,118.5,0.257508,69.65,-10.42,52.7,56.5,16.6,17.7,27.3,32.5,30.3,39.8,-13.938,0,2026-02-15
Robert Morris,109.64,111.8,0.444258,64.88,-2.16,54.3,51.1,18.7,15.7,37.6,28.4,28.1,43.1,-6.497,0,2026-02-15
Seattle,102.03,97.08,0.639207,68.0,4.95,49.7,48.2,17.5,20.8,24.7,32.9,32.7,32.9,-4.789,0,2026-02-15
Villanova,121.04,99.58,0.90415,63.95,21.46,54.3,50.5,15.4,18.9,34.8,32.1,32.8,28.6,3.671,0,2026-02-15
Howard,100.76,105.72,0.365315,68.78,-4.96,48.5,48.3,20.0,21.7,35.2,32.6,41.9,40.4,-7.15,0,2026-02-15
Utah St.,124.67,102.11,0.908574,67.96,22.57,57.9,48.1,16.0,20.8,35.5,31.9,38.6,39.6,3.468,0,2026-02-15
Marist,100.53,100.86,0.490684,66.09,-0.33,50.2,45.0,17.2,19.7,28.2,27.7,26.2,37.7,-6.582,0,2026-02-15
Portland St.,103.72,102.55,0.532496,67.15,1.17,51.8,47.3,18.2,17.6,30.8,27.4,37.5,45.7,-3.515,0,2026-02-15
Denver,115.52,119.81,0.396634,68.23,-4.29,53.8,55.3,14.6,12.7,29.9,33.7,33.6,34.9,-8.587,0,2026-02-15
Cal St. Northridge,110.37,108.57,0.547254,73.32,1.81,52.5,51.7,18.0,16.3,31.6,26.2,35.9,35.1,-5.729,0,2026-02-15
Maryland,112.44,107.83,0.618175,66.89,4.61,48.6,55.4,18.5,16.2,33.0,31.4,40.7,35.0,-3.144,0,2026-02-15
Rice,109.86,114.47,0.384036,65.26,-4.61,48.3,51.6,17.8,16.1,35.8,35.1,34.9,40.2,-10.361,0,2026-02-15
Abilene Christian,101.02,107.33,0.332732,66.25,-6.3,47.3,55.9,21.1,23.6,32.9,30.5,38.3,52.9,-8.216,0,2026-02-15
Rider,97.5,120.73,0.078921,64.7,-23.23,42.6,55.2,17.8,14.1,33.6,33.7,31.4,31.4,-16.137,0,2026-02-15
Boston College,103.06,101.42,0.545813,65.77,1.63,47.1,48.2,15.6,15.3,28.1,28.5,32.9,33.6,-8.863,0,2026-02-15
Arizona,125.06,90.97,0.97492,70.95,34.09,55.4,44.8,15.5,17.6,39.2,25.8,42.5,28.6,7.864,0,2026-02-15
Penn St.,115.69,110.96,0.617773,67.25,4.73,52.9,58.0,14.5,18.4,27.4,31.8,32.7,27.1,-5.014,0,2026-02-15
Hawaii,106.82,99.93,0.682828,69.5,6.89,52.4,45.3,19.5,17.1,32.3,25.8,42.4,35.3,-2.88,0,2026-02-15
San Diego,107.93,110.73,0.426998,68.93,-2.8,50.8,54.2,17.6,19.8,28.7,36.3,26.4,38.4,-9.593,0,2026-02-15
UC Davis,107.15,107.1,0.501461,68.77,0.05,52.5,51.9,18.4,19.7,26.8,30.6,39.2,37.8,-5.702,0,2026-02-15
LSU,118.64,106.51,0.775668,66.22,12.13,53.0,50.2,15.5,15.0,33.5,31.6,42.0,36.2,-2.175,0,2026-02-15
Fresno St.,105.59,102.1,0.595405,68.57,3.49,50.5,50.9,18.8,19.6,28.4,29.9,36.6,30.8,-6.48,0,2026-02-15
UMKC,95.06,116.24,0.09005,68.92,-21.18,46.2,55.8,18.9,16.1,28.1,35.8,28.3,31.8,-17.355,0,2026-02-15
Baylor,121.61,105.79,0.832409,67.95,15.82,53.7,50.8,16.5,15.8,37.3,32.5,36.8,30.0,-1.496,0,2026-02-15
Oral Roberts,99.46,115.52,0.151718,67.3,-16.06,47.9,54.9,18.7,14.7,27.9,33.4,34.1,39.6,-16.362,0,2026-02-15
Ohio,107.16,111.89,0.37827,69.13,-4.73,51.2,52.8,16.4,17.0,28.7,33.1,36.5,37.6,-8.339,0,2026-02-15
Winthrop,112.25,111.79,0.511841,68.97,0.46,51.1,51.6,14.6,17.2,34.0,29.0,43.6,38.2,-3.627,0,2026-02-15
Northern Illinois,95.97,111.22,0.154905,67.6,-15.26,47.4,54.6,22.2,17.2,32.6,30.8,38.8,40.0,-11.636,0,2026-02-15
Georgia Tech,108.16,107.34,0.52186,70.6,0.82,50.6,49.2,18.3,15.4,30.4,29.9,33.4,34.3,-7.464,0,2026-02-15
Kent St.,110.2,109.17,0.526772,70.94,1.02,51.9,51.9,19.0,16.0,36.3,29.5,44.1,37.2,-2.95,0,2026-02-15
High Point,117.05,109.45,0.683801,69.58,7.59,55.3,51.9,12.9,22.9,32.4,30.8,43.4,36.2,-1.882,0,2026-02-15
Weber St.,110.1,113.68,0.408951,68.52,-3.58,51.3,54.5,15.8,16.8,31.9,27.9,40.8,37.4,-9.521,0,2026-02-15
Maine,92.52,112.86,0.092259,64.64,-20.35,49.0,50.6,19.5,19.2,20.7,35.5,37.8,35.0,-17.923,0,2026-02-15
Radford,107.49,113.62,0.345662,71.1,-6.13,51.7,53.3,17.2,18.4,29.7,32.1,41.7,42.6,-9.054,0,2026-02-15
Kansas,120.75,93.88,0.947599,67.08,26.87,53.5,45.0,15.3,13.7,28.7,29.7,33.7,25.8,5.566,0,2026-02-15
SMU,125.74,104.9,0.889337,68.84,20.84,56.0,51.0,15.9,17.4,35.3,31.3,32.5,32.3,1.254,0,2026-02-15
Richmond,110.87,110.07,0.520735,67.5,0.8,52.8,51.3,15.0,17.4,26.5,31.1,37.6,33.9,-7.063,0,2026-02-15
Providence,122.93,110.17,0.779039,71.77,12.76,54.8,51.6,16.3,13.2,32.7,31.1,37.8,33.8,-5.077,0,2026-02-15
Louisville,125.62,97.79,0.946873,70.21,27.83,56.7,46.8,16.1,17.0,33.6,27.2,35.6,33.6,3.694,0,2026-02-15
Davidson,113.05,104.74,0.70636,63.69,8.31,53.9,52.0,16.3,18.0,29.7,31.4,31.1,35.6,-3.636,0,2026-02-15
North Florida,108.88,125.71,0.160781,70.1,-16.83,54.0,57.2,18.5,12.3,25.3,37.7,26.5,31.7,-15.515,0,2026-02-15
Missouri St.,108.16,109.27,0.470673,65.5,-1.11,49.9,51.8,17.4,18.0,32.7,32.3,44.1,39.5,-8.451,0,2026-02-15
