team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
UC Santa Barbara,116.71,111.06,0.638798,64.04,5.64,56.1,54.0,18.6,18.1,32.7,26.1,37.0,42.7,-4.431,0,2026-02-10
Arkansas Pine Bluff,106.02,114.12,0.30022,69.79,-8.1,49.6,52.9,19.1,16.0,27.6,34.8,38.0,45.3,-7.173,0,2026-02-10
Toledo,111.64,111.58,0.501487,68.47,0.06,52.6,55.0,15.7,19.0,30.4,35.9,33.2,27.3,-7.587,0,2026-02-10
Indiana,124.37,100.53,0.920408,66.67,23.85,56.2,47.0,14.8,15.7,28.5,29.0,36.6,37.9,1.538,0,2026-02-10
Louisiana,101.1,111.51,0.244729,62.29,-10.41,48.2,51.8,18.1,17.5,28.1,31.8,26.5,45.8,-12.202,0,2026-02-10
Central Michigan,105.78,115.97,0.257775,66.83,-10.19,50.8,54.8,17.9,16.0,28.9,34.5,31.0,40.6,-12.306,0,2026-02-10
Brown,96.12,105.57,0.253732,66.11,-9.45,47.2,50.4,18.3,18.2,28.9,29.2,27.0,36.4,-11.32,0,2026-02-10
Wright St.,113.42,107.73,0.643797,66.29,5.69,53.9,52.2,16.4,17.1,33.0,30.1,37.2,34.6,-5.426,0,2026-02-10
UC Irvine,104.37,98.92,0.649481,68.43,5.45,48.5,44.7,17.2,18.4,30.4,32.2,38.0,29.3,-4.147,0,2026-02-10
Montana,107.18,105.36,0.549034,69.24,1.82,56.5,50.7,20.2,15.3,22.6,30.2,36.6,32.7,-6.477,0,2026-02-10
UAB,109.1,107.05,0.554387,69.71,2.05,48.4,50.1,12.8,16.5,33.5,27.2,38.1,30.6,-4.852,0,2026-02-10
Tulane,107.2,109.78,0.431841,66.82,-2.59,49.8,51.2,15.4,18.1,22.0,35.9,45.0,37.6,-6.241,0,2026-02-10
FIU,108.46,108.62,0.495849,72.14,-0.16,50.6,52.0,17.0,19.5,32.2,36.0,40.9,35.1,-7.651,0,2026-02-10
BYU,124.77,102.59,0.904704,69.81,22.18,55.6,49.4,15.1,16.4,35.4,28.5,35.6,28.4,3.353,0,2026-02-10
Illinois Chicago,107.63,103.89,0.600477,66.02,3.75,47.9,49.8,18.1,20.4,36.8,34.4,38.9,36.0,-7.073,0,2026-02-10
Xavier,113.26,105.02,0.704447,70.4,8.24,51.0,52.8,14.1,16.7,26.0,29.1,27.8,34.0,-2.877,0,2026-02-10
Charlotte,112.24,112.52,0.49288,63.33,-0.28,53.1,51.2,18.5,14.6,35.0,32.0,39.0,39.9,-6.463,0,2026-02-10
Canisius,95.44,114.42,0.110428,63.89,-18.99,46.2,53.6,19.6,16.6,29.7,30.5,31.9,33.7,-13.935,0,2026-02-10
Wake Forest,114.95,103.8,0.763732,69.04,11.15,52.4,52.3,15.8,19.9,30.1,33.4,33.3,38.5,-2.959,0,2026-02-10
Florida Atlantic,111.86,104.64,0.682848,70.41,7.22,53.1,50.2,18.1,16.7,33.0,28.5,33.2,37.3,-4.776,0,2026-02-10
Northeastern,108.14,117.58,0.276281,69.88,-9.44,52.9,56.1,16.6,18.0,27.5,32.4,31.0,40.2,-12.935,0,2026-02-10
Robert Morris,108.96,111.83,0.425761,65.0,-2.87,54.0,51.1,18.9,15.8,37.3,28.9,28.4,43.0,-6.467,0,2026-02-10
Seattle,100.96,96.25,0.634162,68.08,4.72,49.6,47.9,17.5,21.5,25.0,33.4,33.3,33.4,-4.413,0,2026-02-10
Villanova,121.15,99.66,0.904209,63.56,21.48,54.6,50.4,15.5,18.7,34.8,32.4,32.1,28.7,3.098,0,2026-02-10
Howard,99.69,105.61,0.340031,68.75,-5.92,48.4,48.5,20.4,21.3,34.8,32.8,42.2,41.1,-7.132,0,2026-02-10
Utah St.,122.72,100.73,0.906379,67.94,21.98,57.6,48.6,16.3,21.3,35.6,30.9,37.9,38.9,3.288,0,2026-02-10
Marist,100.49,99.9,0.516762,65.93,0.58,50.7,44.3,17.1,20.0,28.0,28.1,26.3,37.3,-5.759,0,2026-02-10
Portland St.,103.56,101.39,0.560476,67.28,2.17,51.7,47.2,18.4,18.4,32.1,28.0,36.0,46.6,-2.776,0,2026-02-10
Denver,115.1,120.74,0.365946,68.42,-5.64,53.6,56.0,14.7,12.9,29.6,34.2,33.9,35.8,-8.516,0,2026-02-10
Cal St. Northridge,109.03,109.0,0.500901,73.57,0.03,52.2,52.1,18.1,16.0,32.0,26.0,35.9,35.0,-5.778,0,2026-02-10
Maryland,110.9,107.51,0.58826,66.92,3.39,48.1,55.7,18.3,16.5,32.7,31.4,40.0,35.3,-3.469,0,2026-02-10
Rice,109.2,113.61,0.388114,65.23,-4.41,48.2,51.5,18.5,16.4,36.1,35.2,35.7,39.8,-9.382,0,2026-02-10
Abilene Christian,101.12,108.62,0.305264,66.12,-7.5,47.4,55.9,20.8,22.9,32.3,31.3,37.4,53.1,-8.274,0,2026-02-10
Rider,97.85,120.95,0.080398,64.75,-23.1,42.9,55.1,18.1,13.5,34.0,33.8,31.6,32.1,-15.13,0,2026-02-10
Boston College,102.08,99.44,0.574551,65.74,2.63,46.7,47.1,15.4,15.4,27.9,29.2,34.0,34.4,-7.093,0,2026-02-10
Arizona,125.0,90.3,0.976805,71.28,34.71,56.0,44.6,15.7,17.9,39.5,25.7,42.2,28.6,8.356,0,2026-02-10
Penn St.,115.61,111.79,0.595229,67.35,3.81,53.1,58.4,14.3,18.2,27.7,31.5,32.7,26.5,-5.035,0,2026-02-10
Hawaii,106.57,98.17,0.71997,69.74,8.4,52.7,44.4,19.4,17.2,32.2,26.0,42.0,35.3,-2.181,0,2026-02-10
San Diego,107.83,111.14,0.413802,69.28,-3.32,50.5,54.5,17.5,19.6,28.4,36.7,26.9,38.7,-9.521,0,2026-02-10
UC Davis,109.04,108.95,0.502358,68.74,0.09,53.1,52.1,18.3,19.2,27.1,31.3,41.7,39.3,-4.891,0,2026-02-10
LSU,119.62,106.15,0.797976,66.35,13.47,54.3,49.7,15.7,15.0,33.5,31.1,42.4,35.8,-1.413,0,2026-02-10
Fresno St.,104.0,101.33,0.574154,68.33,2.67,50.2,50.5,19.3,19.6,27.9,30.3,35.8,30.9,-6.158,0,2026-02-10
UMKC,95.12,115.22,0.099366,69.01,-20.1,46.5,55.6,19.2,16.6,28.2,36.0,29.8,32.5,-15.549,0,2026-02-10
Baylor,120.41,104.71,0.832922,67.95,15.7,54.2,50.0,16.6,16.0,37.2,32.5,36.1,29.3,-0.627,0,2026-02-10
Oral Roberts,99.08,114.88,0.154326,67.55,-15.8,47.9,55.4,18.7,14.6,27.2,33.2,34.9,41.1,-15.292,0,2026-02-10
Ohio,106.78,111.2,0.385527,69.16,-4.42,51.2,52.5,16.6,17.2,29.2,33.3,36.6,37.2,-7.695,0,2026-02-10
Winthrop,111.21,110.97,0.506299,68.84,0.24,50.5,51.2,14.6,17.0,33.7,29.2,43.6,38.5,-3.571,0,2026-02-10
Northern Illinois,98.89,110.78,0.213237,67.49,-11.89,48.7,53.8,22.2,17.1,33.5,31.4,38.9,42.2,-9.79,0,2026-02-10
