team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,124.9,87.1,.9844,62.1,37.80,52.3,44.8,14.2,21.2,36.8,28.7,27.4,33.8,+11.5,.7741,2025-03-30
Duke,128.8,91.2,.9815,66.4,37.60,58.2,44.4,14.0,17.1,34.1,26.7,32.6,24.9,+9.5,.7025,2025-03-30
Auburn,128.5,92.8,.9769,68.7,35.70,55.1,45.8,13.5,17.2,34.4,29.5,33.8,38.2,+12.7,.8034,2025-03-30
Florida,127.4,94.5,.9685,70.2,32.90,55.1,45.5,15.5,16.6,38.9,29.0,34.3,32.7,+11.1,.7453,2025-03-30
Alabama,127.1,96.3,.9607,75.5,30.80,56.6,47.8,16.6,13.5,33.7,29.4,39.3,33.2,+10.1,.8319,2025-03-30
Tennessee,119.2,90.8,.9580,64.4,28.40,52.5,45.0,16.1,17.7,35.6,30.3,35.5,28.2,+9.3,.7569,2025-03-30
Texas Tech,125.5,97.3,.9494,66.6,28.20,54.7,48.1,14.2,17.1,34.2,28.3,29.2,33.4,+5.8,.7274,2025-03-30
Maryland,118.5,92.3,.9468,70.2,26.20,53.6,47.1,14.3,20.1,30.7,28.2,33.1,26.1,+5.2,.6956,2025-03-30
Gonzaga,124.3,96.8,.9465,71.0,27.50,56.0,47.5,13.4,18.0,32.5,26.9,30.7,29.3,+2.8,.6567,2025-03-30
Iowa St.,119.4,93.1,.9459,69.2,26.30,54.9,48.9,17.0,21.6,32.2,27.9,37.9,29.0,+5.4,.7326,2025-03-30
Arizona,124.0,96.8,.9453,70.7,27.20,53.3,48.9,16.0,16.2,36.0,27.9,35.8,29.8,+5.4,.78,2025-03-30
Purdue,124.8,98.6,.9378,65.7,26.20,55.9,51.8,15.7,17.5,31.8,29.7,34.6,30.1,+4.9,.7976,2025-03-30
Michigan St.,117.1,92.5,.9372,68.1,24.60,50.9,46.2,16.4,15.9,35.3,24.7,37.7,31.5,+8.5,.748,2025-03-30
Wisconsin,122.8,97.1,.9371,68.3,25.70,53.8,48.1,14.0,14.5,28.0,26.7,34.2,27.7,+6.6,.7414,2025-03-30
Illinois,121.9,96.9,.9332,72.0,25.00,52.4,47.4,16.0,12.4,35.8,25.8,34.4,26.9,+4.0,.7618,2025-03-30
BYU,125.2,99.8,.9317,68.0,25.40,57.0,51.4,17.4,16.9,33.7,26.4,30.4,29.4,+4.8,.7164,2025-03-30
Kentucky,123.6,98.6,.9312,71.3,25.00,55.9,50.3,15.0,14.1,28.2,26.4,35.2,30.6,+5.6,.7705,2025-03-30
St. John's,112.7,90.0,.9295,70.5,22.70,49.2,45.9,15.3,21.4,37.9,29.8,30.3,30.7,+7.8,.6834,2025-03-30
Kansas,115.8,92.8,.9275,69.1,23.00,53.1,46.3,16.9,15.6,30.5,27.6,24.4,28.1,+4.2,.7851,2025-03-30
UCLA,116.9,94.0,.9254,65.6,22.90,52.8,50.1,15.9,22.8,32.7,29.8,32.3,33.9,+3.9,.7122,2025-03-30
Michigan,116.5,93.9,.9224,70.5,22.60,53.8,46.1,19.6,15.8,33.2,30.2,35.7,28.4,+6.8,.7877,2025-03-30
Missouri,124.8,100.8,.9214,69.1,24.00,55.8,50.9,15.5,20.1,33.5,32.3,47.1,35.7,+3.2,.6884,2025-03-30
