timestamp,strategy,ticker,side,price_cents,contracts,confidence,imbalance,spread,volume,total_depth,spot_price,strike,cushion_pct,momentum,traded,approved_reason
2026-02-13T16:51:55.933891+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131200-00,no,79,12,0.6575,0.1488167570750285,2,25367,239469,69098.85,69216.75,0.1703,0.0007515175179327143,True,APPROVED
2026-02-13T17:01:06.366462+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131215-15,no,64,15,0.6877,-0.3794642857142857,2,1634,47488,68815.49,68904.64,0.1294,-0.0013955548306338614,True,APPROVED
2026-02-13T17:15:39.338772+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131230-30,yes,71,14,0.7208,0.053610164239231484,1,587,16135,68964.27,68832.6,0.1913,0.0017210931447069848,True,APPROVED
2026-02-13T17:31:00.228461+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131245-45,yes,59,33,0.6795,-0.0706063070389446,3,1102,55335,69010.07,68971.16,0.0564,0.0013506103502199057,True,APPROVED
2026-02-13T17:46:36.598038+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131300-00,yes,57,35,0.6660,-0.011203769392426413,2,4082,74707,69192.0,69149.95,0.0608,0.0010862752564784678,True,APPROVED
