team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,123.2,84.3,.9874,63.2,38.90,53.4,41.1,14.6,22.6,38.0,27.8,27.0,34.7,+1.8,.7741,2025-01-12
Auburn,132.2,92.5,.9837,69.2,39.70,58.6,44.4,13.3,16.7,35.5,27.6,30.6,35.1,+6.0,.8034,2025-01-12
Duke,123.3,88.1,.9793,66.8,35.20,56.5,42.5,15.3,18.6,34.4,26.7,31.8,25.2,+3.8,.7025,2025-01-12
Tennessee,115.5,86.7,.9646,66.0,28.80,53.8,41.5,17.0,20.5,39.5,29.3,33.8,24.7,+4.1,.7569,2025-01-12
Florida,123.5,92.8,.9637,71.1,30.70,53.9,42.0,15.3,17.9,41.4,27.2,32.2,29.6,+3.6,.7453,2025-01-12
Alabama,125.7,95.1,.9613,75.3,30.60,55.2,45.7,16.5,14.4,38.5,29.3,41.7,33.2,+5.1,.8319,2025-01-12
Illinois,118.2,89.6,.9602,73.6,28.60,53.5,43.0,16.1,14.8,36.2,23.4,35.8,26.6,+1.9,.7618,2025-01-12
Iowa St.,122.9,93.5,.9588,70.4,29.40,56.3,47.0,14.0,22.2,34.4,28.3,40.7,25.1,+3.8,.7326,2025-01-12
Michigan,121.7,93.1,.9562,71.6,28.60,60.4,44.7,20.7,18.4,35.8,29.2,35.9,28.9,+2.4,.7877,2025-01-12
Kansas,113.7,87.5,.9530,69.2,26.20,53.3,42.6,14.7,17.7,31.6,24.7,19.9,27.5,+3.0,.7851,2025-01-12
Maryland,119.5,92.8,.9478,71.2,26.70,56.4,46.7,14.5,22.3,33.9,26.2,30.9,24.8,+0.23,.6956,2025-01-12
Gonzaga,122.7,96.4,.9415,71.5,26.30,55.7,47.0,14.0,18.1,33.7,24.9,30.9,26.1,+1.3,.6567,2025-01-12
Marquette,118.4,93.3,.9391,69.3,25.10,53.1,49.8,13.0,23.5,31.0,29.7,26.3,29.5,+4.1,.717,2025-01-12
Texas Tech,125.3,98.8,.9390,67.2,26.50,58.4,47.9,15.5,19.7,38.0,29.9,28.8,32.0,-0.03,.7274,2025-01-12
Purdue,123.5,97.4,.9386,66.1,26.10,58.0,49.4,16.6,17.8,30.4,30.7,35.7,25.8,+3.2,.7976,2025-01-12
Arizona,120.5,95.0,.9386,71.4,25.50,54.0,46.3,16.8,18.5,38.7,28.3,37.1,29.8,+0.6,.78,2025-01-12
Kentucky,124.6,98.8,.9353,72.4,25.80,56.4,47.8,13.2,14.7,30.8,27.0,33.5,29.5,+3.2,.7705,2025-01-12
Michigan St.,116.3,93.1,.9283,69.9,23.20,52.6,45.0,17.5,17.6,36.9,25.2,39.2,30.3,+2.7,.748,2025-01-12
Baylor,120.6,97.0,.9250,66.5,23.60,53.8,51.4,16.0,21.5,37.5,29.9,27.0,35.0,+1.9,.7624,2025-01-12
West Virginia,112.4,90.5,.9236,66.0,21.90,51.9,43.5,16.2,20.0,27.7,30.0,29.3,32.7,+2.2,.7337,2025-01-12
Texas A&M,115.7,93.8,.9183,67.6,21.90,48.7,46.0,17.5,21.3,44.4,30.5,43.4,33.9,+3.2,.7835,2025-01-12
Mississippi St.,120.0,97.3,.9179,69.0,22.70,54.3,48.7,13.4,20.8,35.1,28.7,30.3,36.4,+2.5,.7429,2025-01-12
St. John's,113.7,92.1,.9179,71.5,21.60,50.6,47.3,15.3,21.5,38.5,27.7,31.0,29.8,+1.9,.6834,2025-01-12
Mississippi,115.6,94.3,.9130,68.6,21.30,53.0,46.6,13.4,22.7,28.6,29.1,36.5,35.6,+3.0,.7517,2025-01-12
Oregon,116.9,95.7,.9090,69.5,21.20,53.4,47.9,16.2,18.5,32.1,30.3,37.2,25.5,+4.7,.7641,2025-01-12
Wisconsin,120.6,99.9,.8966,69.2,20.70,54.7,47.0,14.5,15.5,29.7,28.3,36.0,29.3,+2.0,.7414,2025-01-12
