team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,125.2,88.0,.9830,61.9,37.20,53.2,45.1,14.8,21.8,36.9,29.0,27.1,35.3,+8.5,.7741,2025-03-02
Auburn,130.8,92.4,.9821,69.2,38.40,56.0,45.5,13.0,17.4,35.2,29.4,34.0,39.1,+12.8,.8034,2025-03-02
Duke,127.5,90.4,.9812,66.6,37.10,57.7,44.2,14.1,18.0,35.4,26.1,32.3,25.6,+7.1,.7025,2025-03-02
Florida,124.2,94.0,.9608,70.1,30.20,54.4,44.8,15.1,18.0,38.0,28.7,31.3,31.5,+7.5,.7453,2025-03-02
Alabama,127.1,96.5,.9597,75.4,30.60,56.6,47.1,17.2,13.6,36.1,29.4,41.1,33.0,+8.9,.8319,2025-03-02
Tennessee,116.5,88.5,.9595,64.7,28.00,52.5,43.8,16.4,18.8,36.0,29.1,33.0,28.2,+8.1,.7569,2025-03-02
Texas Tech,124.0,95.9,.9506,66.5,28.10,55.6,47.7,15.6,18.2,34.4,28.4,29.3,33.1,+4.7,.7274,2025-03-02
Iowa St.,118.6,92.6,.9448,69.4,26.00,54.2,48.2,16.9,21.6,33.2,27.8,39.7,27.7,+5.0,.7326,2025-03-02
Illinois,122.0,95.6,.9426,72.1,26.40,52.1,46.4,15.8,13.2,36.1,26.6,34.1,27.2,+3.2,.7618,2025-03-02
Arizona,120.2,94.2,.9424,70.8,26.00,52.1,47.8,16.7,17.6,36.7,27.8,36.2,28.8,+4.1,.78,2025-03-02
Gonzaga,124.0,97.5,.9409,70.9,26.50,56.4,47.6,13.5,17.9,33.2,26.3,30.9,28.8,+1.8,.6567,2025-03-02
Maryland,117.9,92.9,.9395,70.7,25.00,54.5,47.2,14.8,19.8,31.2,26.3,32.2,26.2,+3.7,.6956,2025-03-02
Wisconsin,123.2,97.2,.9384,68.3,26.00,54.9,48.2,14.3,14.8,27.9,26.3,33.6,27.0,+5.3,.7414,2025-03-02
Missouri,126.0,99.5,.9381,68.8,26.50,56.8,49.8,15.3,20.7,33.3,32.2,47.8,33.7,+3.6,.6884,2025-03-02
Purdue,124.1,98.0,.9379,66.0,26.10,56.6,51.7,16.0,18.5,30.3,29.6,35.8,30.4,+4.8,.7976,2025-03-02
Michigan St.,116.5,92.4,.9347,68.6,24.10,51.0,45.7,16.9,16.4,36.2,24.9,36.7,32.1,+7.1,.748,2025-03-02
BYU,123.8,98.6,.9320,67.8,25.20,57.8,50.5,17.0,17.4,33.0,25.0,29.2,29.2,+3.1,.7164,2025-03-02
Kansas,114.9,91.7,.9307,69.2,23.20,53.1,45.4,16.4,16.0,30.0,27.3,23.9,27.5,+3.5,.7851,2025-03-02
Kentucky,124.2,99.5,.9276,71.4,24.70,56.2,49.9,15.2,13.9,29.4,26.6,35.1,31.5,+4.3,.7705,2025-03-02
St. John's,112.2,90.3,.9240,70.8,21.90,49.5,46.5,15.8,22.0,37.8,29.0,31.3,30.5,+5.6,.6834,2025-03-02
UCLA,116.3,93.9,.9216,65.7,22.40,52.9,49.8,16.1,23.1,32.4,29.6,33.5,35.3,+3.2,.7122,2025-03-02
Saint Mary's,115.9,93.7,.9201,62.7,22.20,51.2,46.4,14.8,17.1,40.2,25.1,31.2,25.5,+4.5,.617,2025-03-02
Michigan,117.2,94.9,.9187,70.5,22.30,55.6,47.0,20.1,16.7,33.7,30.1,36.1,27.5,+5.2,.7877,2025-03-02
Louisville,118.2,95.9,.9166,69.8,22.30,53.6,50.0,16.2,19.2,32.2,26.4,34.9,26.4,+4.3,.6978,2025-03-02
Clemson,119.3,96.9,.9160,64.8,22.40,54.5,49.2,15.4,19.9,33.4,30.4,28.0,27.4,+4.3,.6621,2025-03-02
Texas A&M,114.4,93.5,.9104,67.2,20.90,47.6,48.1,18.3,20.2,41.6,28.2,41.0,35.0,+4.7,.7835,2025-03-02
Marquette,116.2,95.2,.9090,68.4,21.00,52.3,49.9,13.5,22.6,30.9,30.4,25.9,30.3,+4.1,.717,2025-03-02
Mississippi,116.5,96.3,.8988,68.8,20.20,51.8,49.8,12.8,20.7,24.9,30.4,36.4,39.7,+3.9,.7517,2025-03-02
Baylor,119.8,99.5,.8941,65.9,20.30,52.0,52.0,16.4,19.3,35.3,30.2,31.8,34.3,+1.5,.7624,2025-03-02
Mississippi St.,117.9,98.2,.8908,68.4,19.70,52.0,51.4,15.5,19.1,34.8,29.5,31.7,34.1,+4.0,.7429,2025-03-02
VCU,114.7,95.7,.8898,67.1,19.00,53.2,44.8,16.8,21.0,36.3,28.7,31.1,36.8,+0.7,.5253,2025-03-02
