timestamp,ticker,side,would_buy_price,contracts,block_reason,spot_price,strike,cushion_pct,momentum,ma_slope,distance_from_ma,window_minute,close_time
2026-02-13T16:56:30.285646+00:00,KXBTC15M-26FEB131200-00,no,0,0,EMA_NOISE_BLOCK,69161.54,69216.75,0.0798,0.08037,,0.04351,,2026-02-13T17:00:00Z
2026-02-13T17:01:17.336987+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68857.63,68904.64,0.0682,-0.04641,,0.01973,,2026-02-13T17:15:00Z
2026-02-13T17:01:28.062374+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68846.87,68904.64,0.0838,-0.03649,,0.00205,,2026-02-13T17:15:00Z
2026-02-13T17:05:03.459262+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68848.21,68904.64,0.0819,-0.10377,,0.00098,,2026-02-13T17:15:00Z
2026-02-13T17:05:46.428931+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68839.92,68904.64,0.0939,0.00317,,0.00797,,2026-02-13T17:15:00Z
2026-02-13T17:05:57.234875+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68869.86,68904.64,0.0505,0.03145,,0.02572,,2026-02-13T17:15:00Z
2026-02-13T17:06:07.997426+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68855.04,68904.64,0.0720,0.03052,,0.00210,,2026-02-13T17:15:00Z
2026-02-13T17:06:29.612146+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68850.72,68904.64,0.0783,0.03300,,0.00082,,2026-02-13T17:15:00Z
2026-02-13T17:14:44.736427+00:00,KXBTC15M-26FEB131215-15,no,0,0,EMA_NOISE_BLOCK,68845.78,68904.64,0.0854,0.13059,,0.03012,,2026-02-13T17:15:00Z
2026-02-13T17:16:12.489025+00:00,KXBTC15M-26FEB131230-30,yes,0,0,EMA_NOISE_BLOCK,68890.05,68832.6,0.0835,-0.06329,,-0.02809,,2026-02-13T17:30:00Z
2026-02-13T17:16:23.432269+00:00,KXBTC15M-26FEB131230-30,yes,0,0,EMA_NOISE_BLOCK,68874.95,68832.6,0.0615,-0.09875,,-0.02501,,2026-02-13T17:30:00Z
2026-02-13T17:18:12.991016+00:00,KXBTC15M-26FEB131230-30,yes,0,0,EMA_NOISE_BLOCK,68877.19,68832.6,0.0648,-0.17444,,-0.05643,,2026-02-13T17:30:00Z
2026-02-13T17:19:40.461251+00:00,KXBTC15M-26FEB131230-30,yes,0,0,EMA_NOISE_BLOCK,68873.31,68832.6,0.0591,0.08471,,-0.01003,,2026-02-13T17:30:00Z
2026-02-13T17:26:25.253415+00:00,KXBTC15M-26FEB131230-30,yes,0,0,EMA_NOISE_BLOCK,68873.06,68832.6,0.0588,0.01966,,-0.03891,,2026-02-13T17:30:00Z
2026-02-13T17:26:36.268649+00:00,KXBTC15M-26FEB131230-30,yes,0,0,EMA_NOISE_BLOCK,68874.38,68832.6,0.0607,-0.05813,,-0.01850,,2026-02-13T17:30:00Z
2026-02-13T17:33:25.233696+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69039.47,68971.16,0.0990,-0.01631,,-0.01077,,2026-02-13T17:45:00Z
2026-02-13T17:34:54.454706+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69019.9,68971.16,0.0707,-0.09052,,-0.02834,,2026-02-13T17:45:00Z
2026-02-13T17:35:16.796332+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69034.5,68971.16,0.0918,-0.03443,,-0.00815,,2026-02-13T17:45:00Z
2026-02-13T17:35:39.020992+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69006.01,68971.16,0.0505,-0.07232,,-0.00812,,2026-02-13T17:45:00Z
2026-02-13T17:36:34.733368+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69030.37,68971.16,0.0858,0.03530,,-0.00513,,2026-02-13T17:45:00Z
2026-02-13T17:36:56.950528+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69030.37,68971.16,0.0858,0.00345,,-0.01327,,2026-02-13T17:45:00Z
2026-02-13T17:37:08.067743+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69021.05,68971.16,0.0723,-0.03915,,-0.01339,,2026-02-13T17:45:00Z
2026-02-13T17:37:30.290240+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69022.09,68971.16,0.0738,-0.01199,,-0.00737,,2026-02-13T17:45:00Z
2026-02-13T17:37:52.490600+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69022.0,68971.16,0.0737,-0.01213,,-0.00981,,2026-02-13T17:45:00Z
2026-02-13T17:38:03.577327+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69012.47,68971.16,0.0599,-0.01243,,-0.01181,,2026-02-13T17:45:00Z
2026-02-13T17:38:14.846190+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69014.1,68971.16,0.0623,-0.02917,,-0.00473,,2026-02-13T17:45:00Z
2026-02-13T17:38:48.239314+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69030.44,68971.16,0.0859,0.01223,,-0.00284,,2026-02-13T17:45:00Z
2026-02-13T17:38:59.366139+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69029.28,68971.16,0.0843,0.02436,,-0.00226,,2026-02-13T17:45:00Z
2026-02-13T17:39:10.451159+00:00,KXBTC15M-26FEB131245-45,yes,0,0,EMA_NOISE_BLOCK,69030.37,68971.16,0.0858,0.02357,,-0.00034,,2026-02-13T17:45:00Z
2026-02-13T17:49:04.180174+00:00,KXBTC15M-26FEB131300-00,no,0,0,EMA_NOISE_BLOCK,69110.0,69149.95,0.0578,0.16521,,0.04332,,2026-02-13T18:00:00Z
2026-02-13T17:49:38.162951+00:00,KXBTC15M-26FEB131300-00,no,0,0,EMA_NOISE_BLOCK,69083.0,69149.95,0.0968,0.02319,,0.01074,,2026-02-13T18:00:00Z
2026-02-13T17:49:49.412738+00:00,KXBTC15M-26FEB131300-00,no,0,0,EMA_NOISE_BLOCK,69099.65,69149.95,0.0727,0.05017,,0.01742,,2026-02-13T18:00:00Z
2026-02-13T17:50:00.702884+00:00,KXBTC15M-26FEB131300-00,no,0,0,EMA_NOISE_BLOCK,69091.99,69149.95,0.0838,-0.02606,,0.00316,,2026-02-13T18:00:00Z
2026-02-13T17:50:11.976532+00:00,KXBTC15M-26FEB131300-00,no,0,0,EMA_NOISE_BLOCK,69101.06,69149.95,0.0707,0.05441,,0.00815,,2026-02-13T18:00:00Z
2026-02-13T17:50:34.606697+00:00,KXBTC15M-26FEB131300-00,no,0,0,EMA_NOISE_BLOCK,69098.07,69149.95,0.0750,0.02181,,0.00232,,2026-02-13T18:00:00Z
