team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,124.3,87.6,.9824,62.1,36.70,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,+11.5,.7741,2025-03-16
Duke,127.2,90.9,.9794,66.5,36.30,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,+9.5,.7025,2025-03-16
Auburn,129.5,93.3,.9776,68.6,36.20,55.7,46.0,13.4,17.4,34.3,30.3,33.5,39.2,+12.7,.8034,2025-03-16
Florida,126.8,94.2,.9683,70.3,32.60,55.0,45.3,15.0,17.0,38.1,28.8,32.6,33.0,+11.1,.7453,2025-03-16
Alabama,127.2,96.3,.9610,75.4,30.90,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,+10.1,.8319,2025-03-16
Tennessee,118.7,90.5,.9579,64.6,28.20,52.8,44.4,16.0,17.8,35.4,30.1,35.4,29.4,+9.3,.7569,2025-03-16
Texas Tech,125.6,96.9,.9518,66.3,28.70,55.5,48.0,14.8,17.4,34.3,28.5,29.7,33.5,+5.8,.7274,2025-03-16
Iowa St.,119.2,92.6,.9480,69.3,26.60,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,+5.4,.7326,2025-03-16
Maryland,118.4,92.1,.9472,70.6,26.30,53.8,47.0,14.5,20.2,31.0,27.2,32.9,25.9,+5.2,.6956,2025-03-16
Arizona,123.1,96.3,.9439,70.6,26.80,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,+5.4,.78,2025-03-16
Gonzaga,123.3,96.8,.9419,70.9,26.50,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,+2.8,.6567,2025-03-16
Michigan St.,117.2,92.2,.9402,68.6,25.00,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,+8.5,.748,2025-03-16
Wisconsin,122.6,96.7,.9391,68.3,25.90,53.6,47.9,14.1,14.5,28.0,26.6,33.8,28.1,+6.6,.7414,2025-03-16
Illinois,122.0,96.8,.9346,72.1,25.20,52.3,47.3,15.8,12.7,36.0,26.3,34.6,26.8,+4.0,.7618,2025-03-16
Purdue,124.9,99.3,.9328,65.8,25.60,56.3,52.0,15.6,17.8,31.0,29.9,34.6,31.0,+4.9,.7976,2025-03-16
Kentucky,123.9,98.8,.9313,71.6,25.10,56.0,50.4,15.2,14.0,28.7,25.9,35.9,31.0,+5.6,.7705,2025-03-16
St. John's,112.5,89.7,.9311,70.9,22.80,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,+7.8,.6834,2025-03-16
Kansas,115.9,92.5,.9303,69.0,23.40,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28.0,+4.2,.7851,2025-03-16
BYU,124.1,99.0,.9302,67.9,25.10,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,+4.8,.7164,2025-03-16
Missouri,125.8,100.9,.9266,68.9,24.90,56.2,50.7,15.2,20.0,33.7,32.2,46.8,35.3,+3.2,.6884,2025-03-16
UCLA,117.2,94.6,.9218,65.8,22.60,53.0,50.5,15.9,22.8,32.8,29.2,32.9,34.6,+3.9,.7122,2025-03-16
Michigan,116.5,94.2,.9197,70.3,22.30,54.5,46.3,19.8,16.0,33.2,29.8,35.0,28.5,+6.8,.7877,2025-03-16
Louisville,117.8,95.3,.9195,69.6,22.50,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,+5.5,.6978,2025-03-16
Texas A&M,115.4,93.6,.9178,66.9,21.80,47.5,48.2,18.2,19.7,42.0,27.8,41.7,35.3,+5.5,.7835,2025-03-16
Saint Mary's,115.0,93.4,.9169,62.5,21.60,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25.0,+4.4,.617,2025-03-16
Clemson,117.7,95.7,.9151,65.0,22.00,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,+4.8,.6621,2025-03-16
Marquette,116.7,96.1,.9031,68.5,20.60,52.0,49.9,13.5,21.5,30.1,31.0,26.1,30.2,+3.6,.717,2025-03-16
Baylor,120.6,99.3,.9030,65.4,21.30,51.5,51.2,16.1,18.8,35.6,31.2,31.0,33.5,+2.1,.7624,2025-03-16
Mississippi,117.0,96.5,.9014,68.8,20.50,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,+4.9,.7517,2025-03-16
Mississippi St.,118.4,98.6,.8912,68.7,19.80,51.7,51.9,15.1,19.0,34.1,29.5,31.6,35.4,+3.1,.7429,2025-03-16
Georgia,115.3,96.0,.8909,67.2,19.30,52.5,47.2,18.8,18.0,36.1,31.8,39.8,30.4,+2.0,.7024,2025-03-16
West Virginia,110.3,92.2,.8867,64.9,18.10,50.0,46.3,16.2,19.4,25.9,30.8,25.6,32.2,+1.5,.7337,2025-03-16
VCU,114.9,96.1,.8864,66.9,18.80,52.4,44.4,16.8,20.6,36.7,30.0,32.2,36.1,+1.0,.5253,2025-03-16
Oregon,115.5,96.9,.8828,68.5,18.60,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,+5.8,.7641,2025-03-16
Creighton,116.6,98.3,.8773,67.9,18.30,55.8,47.0,18.1,11.7,26.9,27.2,28.5,16.9,+3.0,.7207,2025-03-16
Connecticut,121.0,102.2,.8748,64.6,18.80,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40.0,+2.3,.6903,2025-03-16
North Carolina,118.0,100.0,.8707,71.3,18.00,54.2,49.6,15.1,15.2,29.2,27.1,34.8,30.0,+1.4,.7094,2025-03-16
Ohio St.,116.8,99.0,.8704,67.8,17.80,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,-0.38,.7481,2025-03-16
Xavier,115.5,98.4,.8637,69.8,17.10,53.9,50.6,16.0,17.6,25.2,25.2,37.2,28.1,+0.42,.6769,2025-03-16
