timestamp,strategy,ticker,side,price_cents,contracts,confidence,imbalance,spread,volume,total_depth,spot_price,strike,cushion_pct,momentum,traded,approved_reason
2026-02-13T16:16:16.337802+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,61,49,0.5920,-0.2893156047516199,3,901,59264,69045.12,68977.16,0.0985,-9.977986158548344e-05,True,APPROVED
2026-02-13T16:16:27.269652+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,63,47,0.5965,-0.10885369620326933,3,901,274552,69050.0,68977.16,0.1056,0.0001644006654244517,True,APPROVED
2026-02-13T16:16:38.180874+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,61,49,0.6266,-0.11040805268574379,1,7991,274989,69055.19,68977.16,0.1131,0.00045158192756663916,False,Cost 2989¢ > 100% bankroll
2026-02-13T16:17:53.457552+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,65,46,0.7274,0.15844278783575907,1,13625,228177,69066.5,68977.16,0.1295,0.0016649335694406797,False,Cost 2990¢ > 100% bankroll
2026-02-13T16:18:04.211277+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,69,21,0.7125,0.1647452381138476,4,13625,255886,69106.01,68977.16,0.1868,0.0016575918969904415,False,Cost 1449¢ > 100% bankroll
2026-02-13T16:18:14.970808+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,64,46,0.6686,0.10909875290602455,3,17822,250342,69063.49,68977.16,0.1252,0.001038093328967745,False,Cost 2944¢ > 100% bankroll
2026-02-13T16:18:25.716262+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,62,48,0.6638,0.042649174777824796,2,17822,236300,69065.82,68977.16,0.1285,0.0009939528015903496,False,Cost 2976¢ > 100% bankroll
2026-02-13T16:18:36.442420+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,64,46,0.6755,0.0416847331683968,1,17822,235242,69084.0,68977.16,0.1549,0.0010898611611652141,False,Cost 2944¢ > 100% bankroll
2026-02-13T16:18:47.175869+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,yes,64,46,0.6005,0.0417633707090021,1,20265,234823,69065.22,68977.16,0.1277,-1.8532863254962042e-05,False,Cost 2944¢ > 100% bankroll
2026-02-13T16:20:02.677803+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,58,51,0.7040,0.1377853084160398,3,26304,302173,68926.58,68977.16,0.0733,-0.0015035411225521984,False,Cost 2958¢ > 100% bankroll
2026-02-13T16:20:34.909865+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,59,50,0.6595,-0.11985267081291896,2,29205,318199,68929.5,68977.16,0.0691,-0.0009929271873202541,False,Cost 2950¢ > 100% bankroll
2026-02-13T16:20:45.648764+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,62,48,0.6455,0.06292664023608668,1,29205,234829,68904.0,68977.16,0.1061,-0.0006319294501605637,False,Cost 2976¢ > 100% bankroll
2026-02-13T16:20:56.388899+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,65,46,0.6541,0.09780150412400872,2,32315,239209,68873.14,68977.16,0.1508,-0.0007753177366409639,False,Cost 2990¢ > 100% bankroll
2026-02-13T16:21:07.110518+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,73,20,0.6899,-0.029223227752639518,3,32315,212160,68844.71,68977.16,0.1920,-0.0014982303332610814,False,Cost 1460¢ > 100% bankroll
2026-02-13T16:21:17.891687+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,68,44,0.7180,0.04187734992869182,2,32315,223677,68844.01,68977.16,0.1930,-0.0017688426181017493,False,Cost 2992¢ > 100% bankroll
2026-02-13T16:21:28.686036+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,66,45,0.6441,0.05879935618643197,2,37176,233608,68882.01,68977.16,0.1379,-0.0006889648118730767,False,Cost 2970¢ > 100% bankroll
2026-02-13T16:21:39.400305+00:00,CRYPTO_SCALP,KXBTC15M-26FEB131130-30,no,69,21,0.6322,0.07744186434736157,3,37176,239612,68865.2,68977.16,0.1623,-0.0005631022872402606,False,Cost 1449¢ > 100% bankroll
