game_id,date,home_team,away_team,home_score,away_score,neutral_site,conference_game,home_conference,away_conference,spread_home,spread_away,num_bookmakers,commence_time,date_diff_hours,actual_margin,margin_vs_spread,home_covered,away_covered
212779,2025-11-04 01:00:00+00:00,kansas,green bay,94,51,False,False,Big 12,Horizon,-29.5,29.5,12,2025-11-04 01:00:00+00:00,0.0,43,13.5,1.0,0.0
212770,2025-11-04 01:00:00+00:00,milwaukee,hampton,90,86,False,False,Horizon,CAA,-5.5,5.5,10,2025-11-04 01:00:00+00:00,0.0,4,-1.5,0.0,1.0
209779,2025-11-04 01:30:00+00:00,south dakota,utah tech,79,81,False,False,Summit,WAC,-2.5,2.5,9,2025-11-04 01:30:00+00:00,0.0,-2,-4.5,0.0,1.0
212731,2025-11-04 01:30:00+00:00,tulane,samford,85,72,False,False,American,SoCon,-6.5,6.5,10,2025-11-04 01:30:00+00:00,0.0,13,6.5,1.0,0.0
212736,2025-11-04 01:30:00+00:00,michigan,oakland,121,78,False,False,Big Ten,Horizon,-22.75,22.75,12,2025-11-04 01:30:00+00:00,0.0,43,20.25,1.0,0.0
212739,2025-11-04 01:50:00+00:00,ucf,hofstra,82,78,False,False,Big 12,CAA,-11.0,11.0,11,2025-11-04 01:00:00+00:00,0.8333333333333334,4,-7.0,0.0,1.0
212744,2025-11-04 02:00:00+00:00,gonzaga,texas southern,98,43,False,False,WCC,SWAC,-27.5,27.5,3,2025-11-04 02:00:00+00:00,0.0,55,27.5,1.0,0.0
212782,2025-11-04 02:30:00+00:00,byu,villanova,71,66,True,False,Big 12,Big East,-8.25,8.25,20,2025-11-04 02:30:00+00:00,0.0,5,-3.25,0.0,1.0
212720,2025-11-04 02:30:00+00:00,usc,cal poly,94,64,False,False,Big Ten,Big West,-24.5,24.5,10,2025-11-04 02:30:00+00:00,0.0,30,5.5,1.0,0.0
209766,2025-11-04 03:30:00+00:00,ucla,eastern washington,80,74,False,False,Big Ten,Big Sky,-29.5,29.5,12,2025-11-04 03:30:00+00:00,0.0,6,-23.5,0.0,1.0
215273,2025-11-04 23:30:00+00:00,purdue,evansville,82,51,False,False,Big Ten,MVC,-33.0,33.0,10,2025-11-04 23:30:00+00:00,0.0,31,-2.0,0.0,1.0
212842,2025-11-05 00:00:00+00:00,fordham,njit,61,72,False,False,A-10,Am. East,-13.5,13.5,6,2025-11-05 00:00:00+00:00,0.0,-11,-24.5,0.0,1.0
212834,2025-11-05 00:00:00+00:00,east carolina,georgia southern,92,89,False,False,American,Sun Belt,-6.5,6.5,10,2025-11-05 00:00:00+00:00,0.0,3,-3.5,0.0,1.0
212824,2025-11-05 00:00:00+00:00,kentucky,nicholls,77,51,False,False,SEC,Southland,-29.75,29.75,6,2025-11-05 00:00:00+00:00,0.0,26,-3.75,0.0,1.0
212836,2025-11-05 01:00:00+00:00,texas tech,lindenwood,98,60,False,False,Big 12,OVC,-34.0,34.0,10,2025-11-05 01:00:00+00:00,0.0,38,4.0,1.0,0.0
212844,2025-11-05 01:00:00+00:00,valparaiso,eastern illinois,66,63,False,False,MVC,OVC,-7.5,7.5,9,2025-11-05 01:00:00+00:00,0.0,3,-4.5,0.0,1.0
212831,2025-11-05 01:30:00+00:00,iowa,robert morris,101,69,False,False,Big Ten,Horizon,-22.5,22.5,10,2025-11-05 01:30:00+00:00,0.0,32,9.5,1.0,0.0
209788,2025-11-05 01:45:00+00:00,duke,texas,75,60,True,False,ACC,SEC,-8.5,8.5,19,2025-11-05 01:45:00+00:00,0.0,15,6.5,1.0,0.0
212821,2025-11-05 03:00:00+00:00,nevada,louisiana tech,77,50,False,False,Mountain West,CUSA,-9.0,9.0,10,2025-11-05 03:00:00+00:00,0.0,27,18.0,1.0,0.0
209793,2025-11-05 23:00:00+00:00,rutgers,rider,81,53,False,False,Big Ten,MAAC,-20.5,20.5,10,2025-11-05 23:00:00+00:00,0.0,28,7.5,1.0,0.0
212860,2025-11-06 00:00:00+00:00,butler,southern indiana,88,58,False,False,Big East,OVC,-20.5,20.5,10,2025-11-06 00:00:00+00:00,0.0,30,9.5,1.0,0.0
212849,2025-11-06 01:00:00+00:00,lsu,tarleton state,96,60,False,False,SEC,WAC,-18.0,18.0,10,2025-11-06 01:00:00+00:00,0.0,36,18.0,1.0,0.0
212857,2025-11-06 01:00:00+00:00,marquette,southern,100,82,False,False,Big East,SWAC,-24.25,24.25,4,2025-11-06 01:00:34+00:00,0.0094444444444444,18,-6.25,0.0,1.0
209794,2025-11-06 01:00:00+00:00,creighton,south dakota,92,76,False,False,Big East,Summit,-28.5,28.5,10,2025-11-06 01:00:00+00:00,0.0,16,-12.5,0.0,1.0
212852,2025-11-06 02:00:00+00:00,uc davis,north dakota state,80,68,False,False,Big West,Summit,-3.5,3.5,10,2025-11-06 02:00:00+00:00,0.0,12,8.5,1.0,0.0
212853,2025-11-06 03:30:00+00:00,loyola marymount,eastern washington,70,62,False,False,WCC,Big Sky,-7.5,7.5,10,2025-11-06 03:30:00+00:00,0.0,8,0.5,0.5,0.5
209804,2025-11-07 00:00:00+00:00,quinnipiac,central connecticut,71,49,False,False,MAAC,NEC,-8.5,8.5,5,2025-11-07 00:00:00+00:00,0.0,22,13.5,1.0,0.0
212880,2025-11-07 00:00:00+00:00,west virginia,campbell,73,65,False,False,Big 12,CAA,-15.5,15.5,10,2025-11-07 00:00:00+00:00,0.0,8,-7.5,0.0,1.0
209806,2025-11-07 00:00:00+00:00,xavier,le moyne,74,69,False,False,Big East,NEC,-22.5,22.5,5,2025-11-07 00:00:00+00:00,0.0,5,-17.5,0.0,1.0
209798,2025-11-07 00:00:00+00:00,boston college,the citadel,76,47,False,False,ACC,SoCon,-17.25,17.25,10,2025-11-07 00:00:00+00:00,0.0,29,11.75,1.0,0.0
209808,2025-11-07 00:00:00+00:00,miami,bethune-cookman,101,61,False,False,ACC,SWAC,-17.5,17.5,6,2025-11-07 00:00:00+00:00,0.0,40,22.5,1.0,0.0
212878,2025-11-07 00:30:00+00:00,drake,robert morris,79,81,False,False,MVC,Horizon,-8.5,8.5,10,2025-11-07 00:30:00+00:00,0.0,-2,-10.5,0.0,1.0
212874,2025-11-07 01:00:00+00:00,north dakota,uc riverside,70,74,False,False,Summit,Big West,-1.0,1.0,10,2025-11-07 01:00:00+00:00,0.0,-4,-5.0,0.0,1.0
212875,2025-11-07 01:00:00+00:00,auburn,merrimack,95,57,False,False,SEC,MAAC,-26.0,26.0,6,2025-11-07 01:00:00+00:00,0.0,38,12.0,1.0,0.0
212891,2025-11-07 01:00:00+00:00,abilene christian,omaha,73,71,False,False,WAC,Summit,-3.5,3.5,10,2025-11-07 01:00:00+00:00,0.0,2,-1.5,0.0,1.0
212881,2025-11-07 01:00:00+00:00,iowa state,grambling,102,62,False,False,Big 12,SWAC,-33.0,33.0,6,2025-11-07 01:00:48+00:00,0.0133333333333333,40,7.0,1.0,0.0
212876,2025-11-07 01:00:00+00:00,florida,north florida,104,64,False,False,SEC,ASUN,-38.0,38.0,6,2025-11-07 01:00:00+00:00,0.0,40,2.0,1.0,0.0
212873,2025-11-07 03:00:00+00:00,washington,denver,84,70,False,False,Big Ten,Summit,-27.5,27.5,10,2025-11-07 03:00:00+00:00,0.0,14,-13.5,0.0,1.0
