team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Auburn,133.2,91.2,.9873,69.6,42.00,59.3,43.9,13.5,16.9,35.6,26.8,30.5,34.5,+4.8,.8034,2025-01-05
Houston,121.8,84.5,.9853,63.1,37.30,53.2,40.1,15.0,22.0,37.3,28.9,27.5,36.4,+1.0,.7741,2025-01-05
Duke,122.8,87.1,.9810,66.8,35.70,56.0,41.7,15.1,19.2,34.6,27.7,29.2,25.8,+3.4,.7025,2025-01-05
Tennessee,118.0,85.3,.9767,66.3,32.70,55.7,40.8,16.4,21.5,40.0,27.5,33.0,24.8,+3.5,.7569,2025-01-05
Illinois,120.2,90.9,.9614,73.3,29.30,54.5,42.8,15.8,14.3,36.4,23.9,37.3,27.7,+2.3,.7618,2025-01-05
Iowa St.,123.4,94.3,.9570,70.6,29.10,56.7,47.3,13.8,22.2,34.5,26.3,40.2,24.5,+2.6,.7326,2025-01-05
Alabama,124.6,95.2,.9566,75.0,29.40,55.3,46.0,16.4,14.4,38.1,28.5,41.1,29.9,+3.8,.8319,2025-01-05
Gonzaga,122.9,94.8,.9518,71.9,28.10,55.4,46.0,13.7,18.2,33.0,24.7,30.1,27.0,+1.2,.6567,2025-01-05
Michigan,119.5,92.3,.9515,71.3,27.20,59.2,44.5,21.0,19.2,37.1,29.4,34.1,27.0,+1.4,.7877,2025-01-05
Kansas,115.8,89.5,.9511,70.0,26.30,55.0,43.4,14.7,16.9,30.7,24.2,20.9,29.7,+2.1,.7851,2025-01-05
Florida,124.6,96.6,.9492,71.3,28.00,55.3,43.7,15.2,18.4,41.4,27.1,32.8,26.6,+2.2,.7453,2025-01-05
Marquette,119.4,93.0,.9464,69.3,26.40,53.7,49.8,12.7,23.3,31.1,29.5,25.1,30.0,+3.9,.717,2025-01-05
Kentucky,125.0,98.0,.9428,72.1,27.00,56.6,47.3,12.5,14.9,31.0,26.4,34.0,27.4,+2.8,.7705,2025-01-05
Maryland,118.7,93.4,.9402,71.3,25.30,56.1,46.6,13.9,21.7,33.9,25.0,30.3,24.7,-0.32,.6956,2025-01-05
West Virginia,112.5,88.9,.9376,66.2,23.60,52.5,42.1,16.6,20.5,28.6,30.2,28.9,32.1,+2.1,.7337,2025-01-05
Texas Tech,125.3,99.4,.9352,67.7,25.90,59.5,47.1,15.2,20.2,37.7,29.6,28.3,31.0,-0.47,.7274,2025-01-05
Texas A&M,114.3,91.7,.9266,67.7,22.60,49.0,44.3,18.3,21.1,44.3,28.4,42.0,31.6,+2.9,.7835,2025-01-05
Arizona,119.3,95.7,.9263,71.8,23.60,53.8,46.8,16.9,19.3,39.8,27.7,37.8,31.8,-0.32,.78,2025-01-05
Purdue,122.4,99.3,.9173,66.1,23.10,56.7,49.7,17.0,16.8,30.7,31.7,38.3,26.4,+2.3,.7976,2025-01-05
Mississippi St.,119.2,97.2,.9122,69.2,22.00,54.5,47.9,13.6,21.2,36.1,27.9,30.5,37.2,+2.3,.7429,2025-01-05
