team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Valparaiso,106.3,111.5,.3656,69.4,-5.20,47.7,54.1,14.7,17.5,28.4,29.2,36.7,39.0,-8.4,.4818,2025-02-02
Columbia,109.0,114.4,.3639,71.3,-5.40,55.6,54.9,16.4,17.6,27.8,28.9,30.6,26.3,-5.7,.3595,2025-02-02
Gardner Webb,103.6,108.8,.3637,70.6,-5.20,53.0,51.2,21.4,14.6,33.3,29.8,36.7,37.4,-9.0,.4222,2025-02-02
Youngstown St.,97.4,102.4,.3594,70.3,-5.00,48.3,48.2,17.5,18.1,28.5,30.6,34.8,36.8,-7.1,.3631,2025-02-02
Indiana St.,106.4,111.9,.3578,74.0,-5.50,54.1,54.3,21.3,16.6,28.1,27.8,37.0,38.3,-8.0,.4743,2025-02-02
Idaho,109.4,115.2,.3564,66.8,-5.80,52.7,54.3,17.8,15.8,28.8,32.8,32.9,38.2,-9.3,.4023,2025-02-02
Winthrop,105.1,110.7,.3548,73.4,-5.60,51.4,51.9,17.3,19.7,30.7,33.1,52.0,39.5,-5.4,.3661,2025-02-02
Marist,98.2,103.5,.3534,65.0,-5.30,52.4,46.4,18.0,17.4,28.6,25.6,22.7,30.6,-1.8,.2612,2025-02-02
Cal Poly,106.1,111.9,.3524,74.7,-5.80,53.1,53.5,22.2,18.5,28.6,35.1,28.8,33.1,-9.4,.4761,2025-02-02
Eastern Washington,102.4,107.9,.3520,68.5,-5.50,50.3,53.4,19.0,19.1,27.7,33.0,30.5,39.5,-11.4,.4393,2025-02-02
Northern Arizona,104.5,110.3,.3494,67.9,-5.80,49.6,52.5,15.3,13.5,32.6,23.8,29.7,35.2,-6.6,.3352,2025-02-02
UC Davis,95.5,100.8,.3478,68.7,-5.30,45.3,48.5,20.5,22.5,28.8,34.5,41.3,40.3,-6.1,.4385,2025-02-02
South Carolina St.,99.4,105.2,.3444,69.3,-5.80,48.4,51.6,19.5,21.6,32.7,31.4,42.5,50.9,-8.6,.2836,2025-02-02
South Dakota,111.5,118.0,.3411,74.7,-6.50,51.2,55.8,13.4,17.2,31.8,37.5,46.8,34.2,-6.4,.4084,2025-02-02
SIU Edwardsville,99.6,105.6,.3382,66.5,-6.00,48.0,48.3,16.9,17.9,31.6,29.9,31.5,35.0,-5.3,.2972,2025-02-02
American,103.9,110.3,.3344,64.5,-6.40,52.1,52.9,17.2,16.4,24.8,28.8,31.3,35.6,-5.8,.3072,2025-02-02
UMKC,100.9,107.1,.3330,65.6,-6.20,48.2,51.8,18.9,17.3,31.6,29.5,31.8,37.4,-10.1,.4043,2025-02-02
Mercer,101.0,107.4,.3319,72.1,-6.40,50.3,51.4,16.3,17.9,28.4,29.1,30.0,35.8,-8.6,.3885,2025-02-02
UMass Lowell,108.0,114.8,.3312,70.3,-6.80,53.6,50.2,17.6,14.4,25.4,31.5,35.9,25.7,-5.2,.3011,2025-02-02
North Dakota,109.2,116.1,.3302,69.8,-6.90,48.8,58.0,16.0,15.5,34.6,29.5,33.1,31.7,-10.7,.4507,2025-02-02
Evansville,97.9,104.4,.3243,67.5,-6.50,49.0,50.0,17.9,17.4,22.3,31.2,30.2,34.2,-9.3,.5091,2025-02-02
North Florida,110.5,117.8,.3238,73.2,-7.30,53.7,54.0,14.7,14.6,28.3,35.0,25.8,34.5,-6.4,.3911,2025-02-02
East Texas A&M,99.1,105.6,.3238,68.7,-6.50,49.3,54.4,23.6,20.1,28.9,33.8,27.8,37.1,-14.1,.4767,2025-02-02
Tulsa,100.7,107.4,.3221,67.4,-6.70,48.7,49.3,17.1,15.3,29.9,30.6,34.3,31.9,-10.1,.4496,2025-02-02
Houston Christian,101.9,108.8,.3202,66.5,-6.90,49.2,53.6,18.6,17.7,26.6,31.2,33.6,28.0,-7.6,.4322,2025-02-02
Southeast Missouri St.,100.5,107.4,.3192,69.6,-6.90,50.4,49.4,15.4,18.6,24.4,29.8,30.7,45.5,-7.3,.297,2025-02-02
Abilene Christian,97.3,104.0,.3183,69.0,-6.70,45.9,53.7,21.4,22.9,29.6,29.7,39.1,53.7,-8.4,.4227,2025-02-02
Sacred Heart,104.8,112.1,.3177,70.8,-7.30,51.6,53.5,18.2,18.1,30.6,28.4,27.3,29.0,-9.5,.3092,2025-02-02
Richmond,100.9,108.1,.3121,65.8,-7.20,46.9,52.8,15.5,15.9,18.7,26.1,34.0,39.4,-10.6,.5102,2025-02-02
Northwestern St.,100.2,107.3,.3115,64.8,-7.10,46.4,51.4,19.4,16.7,33.8,31.3,31.2,31.0,-7.2,.4701,2025-02-02
Fresno St.,99.6,106.8,.3098,73.0,-7.20,46.0,53.8,17.4,18.5,25.5,33.3,36.5,24.3,-10.1,.5989,2025-02-02
FIU,97.0,104.1,.3070,70.3,-7.10,48.1,51.7,20.5,21.0,32.4,29.2,36.2,39.9,-12.0,.4698,2025-02-02
Dartmouth,100.7,108.1,.3066,71.9,-7.40,50.0,52.0,16.3,14.5,22.2,26.4,32.8,25.1,-7.6,.3622,2025-02-02
Colgate,102.9,110.8,.3001,67.4,-7.90,53.0,52.5,17.3,16.2,24.5,27.9,22.3,27.0,-10.4,.3477,2025-02-02
Tennessee St.,101.2,109.0,.2988,72.3,-7.80,50.8,49.5,21.6,17.3,33.5,31.5,38.9,40.2,-10.5,.28,2025-02-02
Vermont,96.3,103.9,.2928,64.1,-7.60,46.8,49.9,17.7,17.2,25.0,26.4,30.6,27.9,-7.6,.3179,2025-02-02
Bucknell,98.2,106.0,.2918,68.7,-7.80,51.2,50.4,19.1,17.7,25.1,30.2,37.1,33.5,-8.7,.3308,2025-02-02
Georgia Southern,100.0,108.0,.2918,71.4,-8.00,49.5,50.7,19.7,19.2,32.3,33.3,27.8,45.8,-8.1,.3791,2025-02-02
Ball St.,104.4,113.0,.2886,67.8,-8.60,51.8,51.0,16.6,13.8,26.5,29.5,47.4,33.8,-8.9,.324,2025-02-02
Tennessee Martin,102.1,110.4,.2881,67.9,-8.30,46.9,53.1,19.5,18.9,34.0,30.9,34.0,33.7,-10.9,.2974,2025-02-02
Tennessee Tech,102.7,111.2,.2863,68.8,-8.50,50.5,48.6,17.3,14.9,26.3,34.6,28.2,23.0,-7.7,.3074,2025-02-02
Charlotte,103.7,112.3,.2859,66.1,-8.60,47.7,52.6,14.4,14.4,24.9,30.9,46.2,34.6,-10.4,.4707,2025-02-02
Bethune Cookman,95.0,103.0,.2842,69.9,-8.00,46.2,48.8,19.3,17.5,27.1,31.5,33.8,34.2,-7.6,.3836,2025-02-02
Incarnate Word,106.0,114.9,.2835,66.3,-8.90,52.5,54.3,17.6,17.8,32.8,29.9,24.6,37.9,-8.2,.3609,2025-02-02
Mount St. Mary's,99.0,107.6,.2786,68.5,-8.60,49.7,49.8,21.4,17.0,31.0,30.3,32.5,28.4,-5.8,.3349,2025-02-02
Manhattan,105.7,115.0,.2750,68.9,-9.30,50.1,50.4,17.3,15.3,32.2,32.3,30.1,26.5,-7.5,.2981,2025-02-02
Army,102.5,111.6,.2728,68.4,-9.10,51.1,53.1,14.7,15.8,26.0,28.4,24.4,25.4,-7.6,.2902,2025-02-02
Morehead St.,99.8,108.8,.2712,65.2,-9.00,47.0,49.3,18.3,13.9,31.4,25.7,38.5,32.7,-5.7,.311,2025-02-02
Monmouth,101.9,111.3,.2659,68.6,-9.40,46.3,51.1,16.8,16.8,30.2,34.5,36.8,39.6,-11.5,.4272,2025-02-02
Hampton,100.8,110.2,.2628,66.1,-9.40,46.1,54.9,16.6,18.8,33.6,29.6,31.6,46.1,-8.8,.3899,2025-02-02
Southern Miss,98.0,107.2,.2616,71.2,-9.20,48.1,50.0,20.5,16.4,30.1,29.7,33.8,34.4,-9.1,.4163,2025-02-02
Southern Utah,99.6,109.0,.2609,69.7,-9.40,48.7,49.6,21.7,15.2,28.6,34.0,35.9,30.6,-8.7,.4208,2025-02-02
Presbyterian,103.5,113.4,.2579,64.8,-9.90,50.6,53.6,17.1,16.9,31.2,32.2,32.2,38.7,-11.7,.3825,2025-02-02
Siena,100.3,110.0,.2571,66.7,-9.70,49.5,51.9,18.5,18.1,28.5,30.0,36.7,32.1,-9.1,.3379,2025-02-02
Navy,101.5,111.4,.2567,67.9,-9.90,48.0,51.9,16.4,16.8,31.8,26.5,30.9,36.2,-13.0,.281,2025-02-02
