team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Colorado St.,116.25,109.47,0.66608,62.35,6.77,57.7,53.7,18.7,15.2,31.4,27.8,37.9,33.2,-3.827,0,2026-02-14
UMBC,104.16,111.8,0.306937,66.02,-7.64,52.8,50.8,14.7,14.9,23.5,26.1,33.6,26.2,-5.647,0,2026-02-14
Louisiana Monroe,98.19,119.27,0.096495,70.93,-21.08,47.4,56.1,17.9,16.2,24.6,35.6,38.2,26.2,-18.11,0,2026-02-14
The Citadel,98.13,119.13,0.097123,63.97,-20.99,48.8,56.2,17.3,14.1,28.3,31.0,30.5,34.0,-14.104,0,2026-02-14
Hofstra,113.2,106.78,0.662004,65.45,6.43,51.3,47.2,16.5,15.2,35.0,30.6,31.4,35.6,-4.762,0,2026-02-14
UMass Lowell,101.68,116.6,0.171551,69.65,-14.92,50.2,53.7,19.4,14.5,32.4,29.9,36.9,29.8,-11.178,0,2026-02-14
South Alabama,104.53,106.66,0.442243,65.21,-2.13,52.1,49.0,13.4,18.7,24.7,31.6,40.6,22.0,-4.297,0,2026-02-14
Butler,116.83,105.31,0.767566,68.64,11.53,51.8,51.3,16.1,15.5,35.8,30.9,42.7,24.8,-2.755,0,2026-02-14
SIU Edwardsville,98.55,105.17,0.321288,64.24,-6.62,49.2,44.7,17.6,16.9,30.6,32.6,32.6,34.1,-7.023,0,2026-02-14
Northern Colorado,111.9,110.31,0.541013,68.45,1.59,56.2,50.4,16.4,12.4,28.4,24.6,26.4,38.8,-6.089,0,2026-02-14
Iowa,123.08,99.16,0.923079,63.55,23.92,58.1,50.7,15.2,21.8,31.5,29.6,36.7,38.1,2.42,0,2026-02-14
Florida A&M,97.93,110.64,0.197185,67.99,-12.72,49.4,52.6,22.6,19.5,29.6,32.3,37.2,41.1,-9.477,0,2026-02-14
TCU,112.12,98.96,0.807764,67.93,13.16,51.6,50.4,16.2,19.8,33.0,29.3,38.1,30.6,-0.016,0,2026-02-14
Middle Tennessee,109.29,107.9,0.536824,64.88,1.39,51.5,50.9,17.2,14.5,29.9,28.4,31.9,36.5,-7.184,0,2026-02-14
