team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
UC Santa Barbara,116.26,111.01,0.629682,64.18,5.24,56.2,54.4,18.5,18.4,32.8,26.0,36.9,42.2,-4.489,0,2026-02-13
Arkansas Pine Bluff,105.75,113.95,0.297632,70.01,-8.2,49.6,52.9,19.1,16.0,27.6,34.8,38.0,45.3,-7.343,0,2026-02-13
Toledo,111.71,111.47,0.506056,68.58,0.23,53.2,54.7,15.3,18.7,29.9,35.7,33.9,27.2,-7.681,0,2026-02-13
Indiana,124.23,100.32,0.921218,66.86,23.92,56.2,47.0,14.8,15.7,28.5,29.0,36.6,37.9,1.385,0,2026-02-13
Louisiana,100.51,111.26,0.237151,62.7,-10.75,47.8,51.8,17.9,17.9,27.9,31.7,27.2,45.8,-13.274,0,2026-02-13
Central Michigan,105.49,115.68,0.257249,66.99,-10.19,50.8,54.8,17.9,16.0,28.9,34.5,31.0,40.6,-12.415,0,2026-02-13
Brown,95.67,105.51,0.245033,66.3,-9.83,47.2,50.4,18.3,18.2,28.9,29.2,27.0,36.4,-11.47,0,2026-02-13
Wright St.,112.74,107.73,0.627717,66.38,5.01,53.6,52.4,16.2,17.1,33.0,30.2,36.9,33.8,-6.466,0,2026-02-13
UC Irvine,103.34,98.42,0.636696,68.76,4.92,48.3,44.9,17.4,18.7,30.3,32.5,37.1,29.2,-5.184,0,2026-02-13
Montana,106.76,104.94,0.549215,69.43,1.82,56.5,50.7,20.2,15.3,22.6,30.2,36.6,32.7,-6.647,0,2026-02-13
UAB,108.57,105.57,0.580034,69.7,3.01,48.2,50.1,12.6,16.6,33.2,27.2,37.3,30.0,-4.433,0,2026-02-13
Tulane,107.16,108.82,0.455813,67.08,-1.66,50.1,50.6,15.6,17.8,22.2,35.5,46.7,38.0,-6.296,0,2026-02-13
FIU,107.27,108.39,0.470051,72.2,-1.12,50.2,52.1,16.9,19.7,32.2,35.8,39.5,34.5,-8.788,0,2026-02-13
BYU,125.67,103.06,0.907251,70.13,22.6,55.7,49.8,14.8,16.4,35.4,28.8,35.6,28.9,3.807,0,2026-02-13
Illinois Chicago,107.74,103.31,0.618498,66.17,4.43,48.1,50.0,17.8,20.3,36.7,34.1,38.4,35.7,-6.968,0,2026-02-13
Xavier,112.88,104.51,0.708045,70.63,8.37,51.0,52.8,14.1,16.7,26.0,29.1,27.8,34.0,-3.036,0,2026-02-13
Charlotte,112.23,112.42,0.494944,63.52,-0.2,53.1,51.2,18.5,14.6,35.0,32.0,39.0,39.9,-6.587,0,2026-02-13
Canisius,95.23,114.37,0.108526,64.06,-19.14,46.2,53.6,19.6,16.6,29.7,30.5,31.9,33.7,-14.071,0,2026-02-13
Wake Forest,115.64,103.55,0.780763,68.91,12.09,52.9,52.1,15.7,19.6,30.0,33.2,33.6,37.3,-2.782,0,2026-02-13
Florida Atlantic,111.26,105.08,0.658494,70.56,6.17,52.7,50.4,18.0,16.3,33.1,28.2,33.5,37.0,-5.818,0,2026-02-13
Northeastern,107.49,118.06,0.253907,69.73,-10.56,52.7,56.5,16.6,17.7,27.3,32.5,30.3,39.8,-14.002,0,2026-02-13
Robert Morris,109.23,111.26,0.447086,65.04,-2.04,54.3,51.1,18.7,15.7,37.6,28.4,28.1,43.1,-6.486,0,2026-02-13
Seattle,101.65,96.68,0.64014,68.16,4.97,49.7,48.2,17.5,20.8,24.7,32.9,32.7,32.9,-4.851,0,2026-02-13
Villanova,120.45,99.4,0.901134,63.91,21.06,54.4,50.6,15.6,19.0,35.0,32.1,33.0,29.1,3.163,0,2026-02-13
Howard,99.35,105.36,0.337455,68.93,-6.0,48.4,48.5,20.4,21.3,34.8,32.8,42.2,41.1,-7.19,0,2026-02-13
Utah St.,123.27,101.18,0.906361,68.11,22.08,57.8,48.5,16.1,21.0,35.5,31.3,37.6,38.7,3.238,0,2026-02-13
Marist,99.93,100.37,0.487337,66.22,-0.44,50.2,45.0,17.2,19.7,28.2,27.7,26.2,37.7,-6.631,0,2026-02-13
Portland St.,103.57,101.72,0.551697,67.37,1.85,52.2,47.3,18.5,18.1,31.8,27.8,37.0,45.7,-2.865,0,2026-02-13
Denver,115.11,119.41,0.39607,68.36,-4.3,53.8,55.3,14.6,12.7,29.9,33.7,33.6,34.9,-8.674,0,2026-02-13
Cal St. Northridge,108.98,108.91,0.501793,73.73,0.07,52.2,52.1,18.1,16.0,32.0,26.0,35.9,35.0,-5.962,0,2026-02-13
Maryland,112.01,107.14,0.625052,66.98,4.87,48.6,55.4,18.5,16.2,33.0,31.4,40.7,35.0,-3.059,0,2026-02-13
Rice,109.56,112.81,0.416611,65.43,-3.26,48.5,51.2,18.0,16.3,35.5,35.2,35.5,39.8,-9.391,0,2026-02-13
Abilene Christian,100.83,107.52,0.323217,66.41,-6.69,47.2,56.1,20.6,23.3,32.3,30.8,37.2,53.3,-8.284,0,2026-02-13
Rider,97.7,120.92,0.079348,64.93,-23.21,42.9,55.1,18.1,13.5,34.0,33.8,31.6,32.1,-15.247,0,2026-02-13
Boston College,101.62,99.27,0.566963,65.94,2.35,46.8,47.4,15.5,15.4,27.5,28.7,33.2,33.8,-8.107,0,2026-02-13
Arizona,124.95,89.99,0.977571,71.51,34.96,56.0,44.6,15.7,17.9,39.5,25.7,42.2,28.6,8.278,0,2026-02-13
Penn St.,114.88,110.03,0.621632,67.39,4.85,53.1,57.7,14.5,18.2,27.2,31.7,32.3,26.3,-4.481,0,2026-02-13
Hawaii,107.24,98.74,0.720995,69.88,8.5,52.9,44.6,19.3,17.1,32.4,26.0,42.7,35.2,-2.202,0,2026-02-13
San Diego,107.58,110.35,0.427351,69.15,-2.77,50.8,54.2,17.6,19.8,28.7,36.3,26.4,38.4,-9.626,0,2026-02-13
UC Davis,107.16,108.1,0.474895,68.91,-0.94,52.5,52.5,18.3,19.6,26.7,30.9,40.2,38.5,-5.773,0,2026-02-13
LSU,117.86,105.73,0.777257,66.67,12.14,53.3,50.1,15.8,15.0,34.0,31.0,42.3,36.0,-1.991,0,2026-02-13
Fresno St.,104.54,101.63,0.580648,68.48,2.92,50.0,51.0,19.1,19.3,28.4,30.4,35.8,30.9,-6.566,0,2026-02-13
UMKC,94.62,114.79,0.09772,68.99,-20.17,46.1,55.2,19.1,16.5,28.6,35.9,29.5,32.2,-16.557,0,2026-02-13
Baylor,121.29,105.35,0.834802,68.24,15.94,54.4,50.4,16.6,15.6,37.2,32.6,36.2,29.6,-1.279,0,2026-02-13
Oral Roberts,98.77,114.26,0.157682,67.49,-15.49,47.8,54.6,18.5,14.6,27.5,33.2,34.5,40.4,-15.443,0,2026-02-13
Ohio,106.59,111.09,0.383382,69.33,-4.5,51.2,52.5,16.6,17.2,29.2,33.3,36.6,37.2,-7.837,0,2026-02-13
Winthrop,111.51,111.36,0.503649,69.13,0.14,51.1,51.6,14.6,17.2,34.0,29.0,43.6,38.2,-3.672,0,2026-02-13
Northern Illinois,97.04,109.89,0.193095,67.72,-12.85,48.1,53.9,22.1,17.3,32.6,30.8,38.3,41.2,-10.84,0,2026-02-13
Georgia Tech,107.79,106.18,0.5432,70.75,1.61,50.3,48.7,18.2,15.2,30.8,29.5,33.7,34.3,-6.878,0,2026-02-13
Kent St.,109.94,109.03,0.523871,70.84,0.91,51.9,52.3,18.9,16.1,36.6,30.0,44.2,36.6,-3.097,0,2026-02-13
High Point,115.91,108.08,0.690787,69.61,7.83,54.9,51.3,12.5,23.4,31.7,31.9,43.4,35.7,-1.94,0,2026-02-13
Weber St.,110.54,112.73,0.443866,68.82,-2.19,51.7,54.1,15.9,16.7,32.2,28.2,40.5,37.2,-8.859,0,2026-02-13
Maine,92.24,112.72,0.090617,64.81,-20.48,49.3,50.3,19.4,19.1,20.8,36.0,37.7,34.6,-17.081,0,2026-02-13
Radford,106.39,113.49,0.322348,71.28,-7.1,51.4,53.2,17.2,18.4,29.6,32.6,41.9,44.2,-9.123,0,2026-02-13
Kansas,120.99,92.96,0.953956,67.41,28.03,53.9,44.7,15.1,13.9,28.6,29.6,33.8,25.7,5.667,0,2026-02-13
SMU,125.06,103.96,0.893322,69.17,21.1,56.4,50.8,16.2,17.6,35.1,31.3,32.8,32.4,1.724,0,2026-02-13
Richmond,110.95,109.8,0.529914,67.66,1.15,53.4,51.2,15.2,17.5,27.0,31.2,37.1,33.8,-6.435,0,2026-02-13
Providence,123.69,110.41,0.786902,71.98,13.28,55.6,52.0,16.2,13.4,32.6,31.3,37.8,33.4,-4.667,0,2026-02-13
Louisville,125.62,97.41,0.94905,70.49,28.21,56.5,47.2,15.9,17.2,33.7,26.6,35.4,33.0,3.278,0,2026-02-13
Davidson,112.37,104.16,0.705165,63.81,8.2,53.9,52.0,16.3,18.0,29.7,31.4,31.1,35.6,-3.683,0,2026-02-13
North Florida,109.16,125.75,0.164251,70.69,-16.59,54.1,57.4,18.4,12.2,25.0,38.0,27.0,31.9,-14.621,0,2026-02-13
Missouri St.,107.99,107.76,0.506128,65.6,0.23,50.1,51.4,17.7,18.3,32.9,32.9,44.8,39.7,-7.523,0,2026-02-13
Vanderbilt,125.29,96.47,0.95285,70.17,28.82,56.6,47.4,13.4,18.4,30.8,29.1,38.3,41.5,4.795,0,2026-02-13
Washington St.,114.26,109.58,0.618077,67.67,4.68,55.1,53.1,18.9,14.6,29.7,27.3,32.9,34.2,-8.574,0,2026-02-13
Akron,117.71,105.59,0.77721,70.56,12.12,58.5,50.4,15.5,18.6,33.9,32.2,27.5,32.0,-1.286,0,2026-02-13
Bowling Green,105.38,103.36,0.555384,68.25,2.02,52.0,50.7,17.4,19.7,29.3,27.2,35.9,36.8,-6.807,0,2026-02-13
Memphis,106.44,98.33,0.713315,69.76,8.11,49.4,47.5,19.9,20.0,35.4,34.7,33.4,41.5,-5.113,0,2026-02-13
Central Arkansas,107.63,108.18,0.485401,68.28,-0.55,53.4,54.8,15.7,19.1,28.2,27.0,31.1,30.8,-5.357,0,2026-02-13
Murray St.,117.07,111.09,0.646272,71.88,5.98,54.9,51.1,16.6,15.7,33.8,31.6,38.6,32.5,-2.772,0,2026-02-13
American,105.04,111.81,0.327775,67.35,-6.77,51.3,54.0,16.5,19.1,26.7,30.6,27.5,44.7,-9.269,0,2026-02-13
Notre Dame,113.64,104.94,0.714205,65.56,8.7,52.4,50.9,17.1,14.0,31.8,26.3,33.4,33.7,-4.163,0,2026-02-13
Creighton,116.86,106.19,0.750583,66.51,10.68,54.5,51.2,16.6,14.3,28.7,31.6,27.1,24.3,-2.55,0,2026-02-13
Duke,124.3,92.1,0.969165,66.46,32.2,57.4,46.3,16.2,19.2,37.0,25.2,38.6,22.9,8.148,0,2026-02-13
Indiana St.,105.82,108.99,0.415921,68.51,-3.17,52.7,49.9,18.9,15.0,25.5,32.0,29.6,28.5,-11.415,0,2026-02-13
UCLA,120.02,100.39,0.886378,65.35,19.63,53.8,49.1,13.9,18.9,31.5,31.9,36.8,35.9,1.298,0,2026-02-13
Pacific,110.91,103.73,0.683569,64.89,7.19,53.4,49.2,20.2,15.8,35.4,23.8,32.1,37.3,-4.349,0,2026-02-13
Texas A&M,122.36,100.69,0.90396,71.54,21.67,55.8,50.6,14.9,19.2,32.8,31.8,38.1,34.6,0.944,0,2026-02-13
North Texas,101.05,99.93,0.531713,65.01,1.11,46.1,47.6,18.3,22.2,34.3,34.1,39.7,45.6,-6.109,0,2026-02-13
Nevada,118.37,104.25,0.81174,65.3,14.13,50.3,50.5,13.6,17.2,32.2,28.3,44.4,38.8,-0.369,0,2026-02-13
UTSA,98.27,119.03,0.099453,68.59,-20.75,44.0,53.6,18.6,14.9,30.3,38.9,30.0,34.4,-15.037,0,2026-02-13
Mississippi Valley St.,88.92,121.53,0.026794,67.13,-32.61,44.7,57.2,22.3,16.7,26.4,36.0,32.4,47.5,-18.49,0,2026-02-13
Gardner Webb,94.32,123.28,0.043945,70.29,-28.97,47.1,58.0,20.9,14.6,24.0,36.7,30.9,35.7,-18.093,0,2026-02-13
Prairie View A&M,100.79,116.55,0.158266,73.4,-15.76,47.2,54.1,16.3,20.0,25.2,37.2,44.1,47.9,-11.135,0,2026-02-13
Chattanooga,101.55,114.45,0.201843,66.59,-12.9,51.9,51.3,15.0,13.9,20.9,31.6,32.2,44.0,-12.678,0,2026-02-13
Georgia Southern,106.65,115.98,0.275825,70.63,-9.34,49.5,51.8,14.7,18.9,29.1,35.8,40.9,40.8,-9.636,0,2026-02-13
Northern Arizona,106.29,118.75,0.218357,63.77,-12.46,51.8,56.5,16.0,16.9,23.8,33.1,31.2,32.8,-12.889,0,2026-02-13
Nebraska,120.52,93.25,0.950301,67.26,27.28,56.3,47.4,13.2,18.9,25.4,27.9,26.4,24.7,6.336,0,2026-02-13
Yale,120.45,111.79,0.702257,65.5,8.66,56.8,52.1,14.3,15.9,34.7,29.2,37.2,30.4,-0.874,0,2026-02-13
Tennessee Martin,100.37,105.92,0.349873,64.5,-5.56,50.2,45.8,21.9,19.0,38.4,31.5,41.2,36.6,-4.774,0,2026-02-13
Morehead St.,104.9,117.35,0.215942,65.48,-12.45,48.4,50.9,18.7,15.9,36.1,36.7,36.2,36.8,-8.365,0,2026-02-13
Tennessee,121.31,94.96,0.943548,66.21,26.35,52.8,47.2,18.4,16.6,44.8,27.9,41.2,35.1,3.302,0,2026-02-13
Texas St.,102.54,107.39,0.37026,66.6,-4.85,49.3,51.2,19.1,18.7,33.3,28.1,34.0,38.0,-8.335,0,2026-02-13
Jackson St.,100.0,119.22,0.116989,70.05,-19.22,45.9,54.5,19.7,15.3,26.9,37.8,33.5,40.4,-10.5,0,2026-02-13
Mississippi,112.71,102.61,0.746467,65.21,10.1,50.0,49.6,14.3,16.9,29.8,32.6,33.2,41.6,-3.243,0,2026-02-13
Wyoming,113.73,106.32,0.684362,66.46,7.4,51.9,51.4,17.4,16.8,34.7,26.7,39.2,48.8,-4.516,0,2026-02-13
Minnesota,114.58,100.62,0.816826,63.3,13.97,53.3,50.4,16.4,17.2,28.8,29.8,40.8,30.6,-3.793,0,2026-02-13
Illinois,131.72,97.63,0.969075,65.77,34.09,55.9,47.0,14.0,11.3,38.7,26.8,34.2,18.8,5.757,0,2026-02-13
LIU,103.16,107.13,0.393177,68.32,-3.97,51.9,50.1,19.6,18.9,35.6,32.4,33.4,34.5,-4.051,0,2026-02-13
UTEP,102.17,110.33,0.292414,64.86,-8.16,47.8,51.7,17.5,18.7,27.7,33.5,31.9,43.2,-10.729,0,2026-02-13
Loyola Chicago,103.93,115.73,0.224976,66.2,-11.8,49.5,52.9,19.9,12.7,32.9,30.9,34.5,33.8,-13.828,0,2026-02-13
Texas,124.96,105.63,0.873443,67.29,19.32,55.0,49.6,15.5,14.4,37.5,27.4,47.3,40.3,0.096,0,2026-02-13
Maryland Eastern Shore,93.56,113.92,0.094103,63.31,-20.36,47.3,50.7,23.1,17.0,30.5,32.8,28.4,41.0,-11.946,0,2026-02-13
Western Illinois,92.42,121.14,0.042609,66.43,-28.72,43.9,54.3,17.4,15.1,28.0,33.9,38.3,34.9,-19.407,0,2026-02-13
Fairleigh Dickinson,100.58,115.68,0.166811,64.82,-15.1,47.3,54.1,17.8,16.4,31.0,28.6,32.8,36.7,-12.099,0,2026-02-13
Cornell,120.36,120.83,0.488776,72.48,-0.47,58.6,57.4,16.3,15.6,29.7,30.3,32.1,37.2,-6.464,0,2026-02-13
West Virginia,110.36,97.57,0.804842,62.63,12.79,51.8,48.4,17.2,17.9,30.5,26.3,37.0,26.7,-0.574,0,2026-02-13
Oklahoma,120.92,107.21,0.799639,67.1,13.71,54.2,51.4,14.5,15.3,33.4,31.5,34.6,34.0,-2.585,0,2026-02-13
Queens,113.77,117.83,0.400614,69.11,-4.06,56.1,55.2,14.9,14.9,32.0,32.7,33.8,40.8,-6.806,0,2026-02-13
Southern Illinois,103.31,100.05,0.591191,69.58,3.26,50.2,49.2,17.3,18.6,30.3,28.1,34.0,33.7,-8.359,0,2026-02-13
San Diego St.,111.72,93.3,0.888142,68.85,18.42,53.6,47.7,17.5,21.6,29.5,30.4,37.2,36.4,0.862,0,2026-02-13
Nebraska Omaha,107.18,112.98,0.352791,67.71,-5.81,52.8,53.1,16.7,14.2,27.0,29.2,35.7,34.9,-10.235,0,2026-02-13
East Texas A&M,98.36,107.68,0.261023,69.11,-9.32,48.7,52.6,19.7,17.5,25.5,32.7,32.0,35.8,-10.598,0,2026-02-13
