team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,125.2,87.9,.9833,61.7,37.30,53.2,45.3,14.8,22.2,37.8,28.3,26.7,35.8,+7.3,.7741,2025-02-23
Duke,127.0,90.5,.9803,66.4,36.50,57.6,44.2,14.4,17.5,34.9,25.8,31.5,26.2,+6.7,.7025,2025-02-23
Auburn,129.4,92.2,.9800,69.1,37.20,55.4,45.1,13.2,17.3,35.7,29.5,32.4,37.2,+11.5,.8034,2025-02-23
Florida,124.2,93.4,.9635,69.7,30.80,54.4,44.3,15.1,17.7,38.1,28.7,31.1,30.3,+7.3,.7453,2025-02-23
Tennessee,116.6,88.3,.9604,64.8,28.30,52.8,43.5,16.3,19.0,36.3,29.1,32.5,27.5,+7.0,.7569,2025-02-23
Alabama,126.5,96.9,.9554,75.2,29.60,56.4,47.2,17.4,13.4,36.2,29.4,41.7,33.2,+8.6,.8319,2025-02-23
Texas Tech,123.8,95.8,.9498,66.5,28.00,56.3,47.4,15.7,18.5,34.8,28.5,29.4,32.9,+4.1,.7274,2025-02-23
Iowa St.,119.1,92.9,.9461,69.4,26.20,54.2,48.6,16.4,21.9,33.4,27.6,39.8,26.6,+5.0,.7326,2025-02-23
Arizona,120.5,94.1,.9451,70.9,26.40,52.8,47.7,16.9,17.5,36.7,27.6,35.4,28.1,+4.0,.78,2025-02-23
Maryland,119.9,94.0,.9424,70.9,25.90,55.5,47.7,14.9,19.8,32.4,26.1,32.1,26.5,+3.5,.6956,2025-02-23
Wisconsin,123.5,97.7,.9371,68.3,25.80,55.5,48.2,14.6,14.9,28.0,26.4,34.3,27.9,+5.3,.7414,2025-02-23
Gonzaga,123.2,97.6,.9361,70.7,25.60,55.9,47.5,13.4,18.0,33.8,26.3,30.8,28.4,+0.6,.6567,2025-02-23
Purdue,123.6,97.9,.9359,66.1,25.70,56.4,51.7,16.1,18.4,30.4,29.2,36.0,30.3,+4.2,.7976,2025-02-23
Illinois,121.0,95.9,.9354,72.6,25.10,51.8,46.2,16.2,12.8,36.1,26.3,35.2,27.4,+2.2,.7618,2025-02-23
Missouri,124.5,98.7,.9354,68.9,25.80,56.2,49.6,15.4,20.8,33.3,31.3,48.5,33.2,+3.7,.6884,2025-02-23
Kansas,114.9,91.4,.9327,69.2,23.50,53.2,45.1,16.7,16.0,30.5,27.0,22.8,28.5,+3.4,.7851,2025-02-23
Kentucky,124.6,99.1,.9324,71.3,25.50,56.4,49.1,14.7,13.8,29.4,27.0,33.7,30.8,+3.9,.7705,2025-02-23
Michigan St.,117.7,93.8,.9312,68.5,23.90,51.8,46.3,17.0,16.6,36.8,25.8,38.2,31.8,+5.6,.748,2025-02-23
St. John's,112.3,89.7,.9300,71.0,22.60,49.5,46.4,15.6,22.2,37.8,29.0,30.4,30.2,+5.1,.6834,2025-02-23
Michigan,118.9,95.1,.9292,70.6,23.80,56.7,47.0,20.3,17.1,34.1,30.1,36.1,28.2,+4.8,.7877,2025-02-23
Saint Mary's,116.1,93.2,.9258,62.9,22.90,51.6,46.4,14.9,17.7,39.8,25.8,30.8,25.0,+4.1,.617,2025-02-23
BYU,123.1,98.9,.9249,67.7,24.20,57.4,50.8,17.3,18.0,33.7,25.7,29.0,29.2,+2.1,.7164,2025-02-23
UCLA,116.2,93.5,.9240,65.8,22.70,52.9,49.3,15.8,23.4,32.1,29.6,33.6,35.5,+3.4,.7122,2025-02-23
Louisville,119.0,96.2,.9195,69.6,22.80,53.4,50.2,16.2,18.9,33.3,26.3,34.6,27.0,+3.8,.6978,2025-02-23
Clemson,119.1,96.7,.9166,64.6,22.40,54.7,49.2,15.9,20.1,33.7,31.1,27.5,27.2,+3.8,.6621,2025-02-23
