team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,123.9,85.3,.9866,62.5,38.60,52.8,42.5,13.5,23.0,37.5,29.1,26.9,34.3,+3.8,.7741,2025-01-26
Auburn,129.4,90.8,.9834,69.0,38.60,57.0,43.9,13.7,17.2,35.1,29.0,30.5,35.3,+7.8,.8034,2025-01-26
Duke,122.6,88.3,.9773,66.6,34.30,56.7,42.8,15.6,17.7,34.8,24.7,31.2,26.2,+4.6,.7025,2025-01-26
Tennessee,115.2,86.5,.9644,65.3,28.70,52.6,41.8,17.0,20.5,38.9,30.5,32.4,25.3,+4.5,.7569,2025-01-26
Illinois,120.1,90.7,.9618,73.6,29.40,52.2,44.0,15.9,14.0,36.3,23.8,36.3,26.8,+2.3,.7618,2025-01-26
Florida,123.5,93.3,.9616,70.5,30.20,54.1,43.0,15.5,18.4,41.2,28.8,31.4,29.8,+4.4,.7453,2025-01-26
Iowa St.,121.0,92.2,.9581,70.4,28.80,55.5,47.5,14.7,22.2,34.0,26.6,39.9,26.0,+4.8,.7326,2025-01-26
Alabama,124.5,95.3,.9557,75.4,29.20,55.0,45.8,16.8,14.1,36.6,29.6,43.1,31.4,+6.0,.8319,2025-01-26
Kansas,115.9,89.9,.9490,69.0,26.00,53.5,43.9,15.8,16.5,31.4,26.3,22.1,28.4,+3.5,.7851,2025-01-26
Purdue,122.5,95.4,.9465,66.3,27.10,56.6,49.5,16.2,19.5,29.8,29.9,36.9,27.3,+4.2,.7976,2025-01-26
Texas Tech,122.8,95.8,.9458,66.5,27.00,56.8,47.4,15.9,19.4,36.6,27.7,28.7,32.3,+2.0,.7274,2025-01-26
Arizona,120.9,95.2,.9397,70.5,25.70,53.8,47.0,16.0,18.5,36.4,28.4,36.3,29.2,+1.6,.78,2025-01-26
Maryland,119.0,93.8,.9394,70.9,25.20,55.3,47.5,14.7,21.3,32.7,26.5,30.5,26.3,+1.8,.6956,2025-01-26
Michigan,119.9,95.2,.9345,71.3,24.70,58.1,46.0,20.8,17.3,35.6,29.4,37.2,29.7,+2.0,.7877,2025-01-26
Kentucky,124.4,98.9,.9331,71.9,25.50,56.3,48.3,14.2,14.4,31.3,27.3,33.9,30.6,+3.1,.7705,2025-01-26
Gonzaga,123.6,98.5,.9318,71.7,25.10,56.4,48.5,13.9,17.9,33.8,25.1,30.7,28.3,+0.23,.6567,2025-01-26
Marquette,117.0,93.8,.9267,69.3,23.20,52.5,50.1,13.1,23.4,30.5,29.7,27.7,29.2,+4.3,.717,2025-01-26
Michigan St.,117.2,94.0,.9262,69.9,23.20,52.1,45.6,17.1,17.0,36.7,26.2,39.5,32.1,+4.0,.748,2025-01-26
Wisconsin,122.1,98.3,.9236,69.1,23.80,55.7,47.5,14.9,15.7,28.3,27.4,35.6,29.3,+3.1,.7414,2025-01-26
St. John's,112.5,91.2,.9173,71.1,21.30,50.1,46.3,15.8,21.9,38.1,28.7,31.2,30.2,+2.6,.6834,2025-01-26
Texas A&M,114.1,92.8,.9152,67.5,21.30,48.4,46.6,17.8,21.2,42.7,29.0,39.8,33.6,+3.6,.7835,2025-01-26
Mississippi,113.7,92.6,.9134,68.9,21.10,52.1,47.3,13.6,23.0,26.3,29.9,33.0,37.6,+2.9,.7517,2025-01-26
Louisville,118.2,96.4,.9122,69.6,21.80,51.9,50.4,16.0,19.3,34.7,26.4,36.0,28.3,+3.0,.6978,2025-01-26
BYU,119.4,97.5,.9114,67.6,21.90,57.0,49.3,17.6,18.4,35.4,23.1,29.0,30.3,-0.5,.7164,2025-01-26
Baylor,120.8,98.8,.9097,65.7,22.00,52.9,51.8,15.4,20.9,36.3,30.9,27.9,34.5,+1.8,.7624,2025-01-26
Mississippi St.,117.8,96.6,.9077,68.5,21.20,52.5,49.2,15.0,20.2,35.8,29.5,31.3,35.0,+3.3,.7429,2025-01-26
Missouri,120.3,98.9,.9051,68.8,21.40,56.0,48.5,15.8,21.6,32.9,31.2,51.2,30.3,+2.2,.6884,2025-01-26
Saint Mary's,116.1,95.6,.9038,63.5,20.50,51.8,46.1,15.0,17.9,41.5,25.8,32.5,26.3,+1.4,.617,2025-01-26
