timestamp,ticker,side,action,fill_price_cents,contracts,spot_price,strike,cushion_pct,momentum,confidence,imbalance,spread,total_depth
2026-02-13T16:51:56.080868+00:00,KXBTC15M-26FEB131200-00,no,buy,74,12,69098.85,69216.75,0.1703,0.0007515175179327143,0.6575,0.1488167570750285,2,239469
2026-02-13T16:54:02.830233+00:00,KXBTC15M-26FEB131200-00,no,sell,81,12,69098.85,69216.75,0.1703,0.0007515175179327143,0.6575,0.1488167570750285,2,239469
2026-02-13T16:57:12.658602+00:00,KXBTC15M-26FEB131200-00,no,sell,92,24,69098.85,69216.75,0.1703,0.0007515175179327143,0.6575,0.1488167570750285,2,239469
2026-02-13T17:01:06.498027+00:00,KXBTC15M-26FEB131215-15,no,buy,64,1,68815.49,68904.64,0.1294,-0.0013955548306338614,0.6877,-0.3794642857142857,2,47488
2026-02-13T17:01:06.500312+00:00,KXBTC15M-26FEB131215-15,no,buy,64,1,68815.49,68904.64,0.1294,-0.0013955548306338614,0.6877,-0.3794642857142857,2,47488
2026-02-13T17:01:08.155446+00:00,KXBTC15M-26FEB131215-15,no,buy,64,13,68815.49,68904.64,0.1294,-0.0013955548306338614,0.6877,-0.3794642857142857,2,47488
2026-02-13T17:09:53.995104+00:00,KXBTC15M-26FEB131215-15,no,sell,94,15,68815.49,68904.64,0.1294,-0.0013955548306338614,0.6877,-0.3794642857142857,2,47488
2026-02-13T17:15:39.428300+00:00,KXBTC15M-26FEB131230-30,yes,buy,71,1,68964.27,68832.6,0.1913,0.0017210931447069848,0.7208,0.053610164239231484,1,16135
2026-02-13T17:15:41.207462+00:00,KXBTC15M-26FEB131230-30,yes,buy,71,13,68964.27,68832.6,0.1913,0.0017210931447069848,0.7208,0.053610164239231484,1,16135
2026-02-13T17:18:24.021330+00:00,KXBTC15M-26FEB131230-30,yes,sell,50,14,68964.27,68832.6,0.1913,0.0017210931447069848,0.7208,0.053610164239231484,1,16135
2026-02-13T17:31:00.318672+00:00,KXBTC15M-26FEB131245-45,yes,buy,59,33,69010.07,68971.16,0.0564,0.0013506103502199057,0.6795,-0.0706063070389446,3,55335
2026-02-13T17:35:50.303994+00:00,KXBTC15M-26FEB131245-45,yes,sell,49,10,69010.07,68971.16,0.0564,0.0013506103502199057,0.6795,-0.0706063070389446,3,55335
2026-02-13T17:35:50.308381+00:00,KXBTC15M-26FEB131245-45,yes,sell,47,56,69010.07,68971.16,0.0564,0.0013506103502199057,0.6795,-0.0706063070389446,3,55335
2026-02-13T17:46:39.452326+00:00,KXBTC15M-26FEB131300-00,yes,buy,57,10,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
2026-02-13T17:46:39.800165+00:00,KXBTC15M-26FEB131300-00,yes,buy,57,10,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
2026-02-13T17:46:41.520242+00:00,KXBTC15M-26FEB131300-00,yes,buy,57,15,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
2026-02-13T17:47:33.516051+00:00,KXBTC15M-26FEB131300-00,yes,sell,43,8,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
2026-02-13T17:47:33.520150+00:00,KXBTC15M-26FEB131300-00,yes,sell,42,1,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
2026-02-13T17:47:33.521680+00:00,KXBTC15M-26FEB131300-00,yes,sell,42,5,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
2026-02-13T17:47:33.522992+00:00,KXBTC15M-26FEB131300-00,yes,sell,42,21,69192.0,69149.95,0.0608,0.0010862752564784678,0.6660,-0.011203769392426413,2,74707
