team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Tennessee,121.9,82.5,.9890,66.6,39.40,60.3,40.1,19.2,22.3,43.5,28.8,33.7,23.1,+1.8,.7569,2024-12-01
Duke,115.1,81.3,.9821,69.4,33.80,55.3,40.7,16.6,21.3,33.6,24.0,26.7,27.1,+0.49,.7025,2024-12-01
Auburn,133.1,94.4,.9810,69.5,38.70,60.6,45.0,13.9,16.0,32.3,25.4,29.6,30.6,+3.0,.8034,2024-12-01
Gonzaga,127.4,93.1,.9736,72.5,34.30,55.4,45.1,12.9,18.8,35.2,22.2,33.7,31.0,+1.6,.6567,2024-12-01
Kansas,120.5,88.6,.9719,71.0,31.90,58.1,45.3,14.0,18.2,27.6,23.5,22.9,32.3,+2.4,.7851,2024-12-01
Houston,122.3,90.6,.9692,64.2,31.70,51.6,44.5,13.3,22.6,36.3,29.1,29.6,36.7,-0.5,.7741,2024-12-01
Kentucky,122.0,90.8,.9675,76.0,31.20,59.9,42.4,13.2,15.8,29.9,22.8,32.8,24.3,+1.3,.7705,2024-12-01
Illinois,119.8,90.2,.9632,73.3,29.60,55.0,40.4,15.0,15.9,38.9,23.2,40.0,25.1,+0.6,.7618,2024-12-01
Cincinnati,118.8,89.5,.9632,67.4,29.30,61.4,38.5,14.0,17.7,36.8,29.5,21.8,21.9,+0.7,.7119,2024-12-01
Pittsburgh,122.3,94.0,.9536,70.6,28.30,56.4,44.7,13.6,17.5,31.2,26.1,35.7,33.3,+1.4,.6684,2024-12-01
Alabama,124.3,95.7,.9533,74.2,28.60,54.8,45.5,16.9,13.3,35.4,28.7,46.4,38.6,+2.0,.8319,2024-12-01
Marquette,117.4,90.4,.9528,72.0,27.00,56.6,48.1,13.7,25.2,28.5,27.0,29.9,27.3,+2.3,.717,2024-12-01
Michigan,115.7,89.7,.9491,71.2,26.00,59.0,42.0,21.6,24.5,37.3,32.4,32.6,25.0,+0.5,.7877,2024-12-01
Iowa St.,127.6,99.4,.9465,72.0,28.20,57.1,48.6,12.8,23.6,29.6,23.7,43.5,30.8,+0.6,.7326,2024-12-01
Florida,121.5,96.0,.9376,70.9,25.50,54.1,42.3,14.6,19.3,41.3,28.9,33.0,27.2,+1.2,.7453,2024-12-01
Purdue,123.2,98.1,.9317,65.7,25.10,57.8,47.9,16.5,15.0,30.1,28.5,47.7,24.0,+1.7,.7976,2024-12-01
Ohio St.,117.5,93.8,.9304,69.7,23.70,60.6,41.2,15.5,17.7,30.2,26.3,34.1,40.0,-0.33,.7481,2024-12-01
Maryland,116.2,93.5,.9244,71.6,22.70,56.4,43.1,13.6,23.6,34.2,24.8,33.7,28.4,+0.10,.6956,2024-12-01
Oregon,116.7,94.1,.9220,69.5,22.60,52.4,46.5,14.7,18.7,34.2,29.9,37.6,25.4,+2.7,.7641,2024-12-01
St. John's,115.6,93.5,.9203,70.8,22.10,53.8,46.3,18.0,21.7,38.1,29.5,33.9,29.6,-0.01,.6834,2024-12-01
San Diego St.,114.1,92.3,.9197,65.6,21.80,51.0,45.0,16.0,16.0,25.3,34.2,26.1,33.6,+1.1,.6431,2024-12-01
Dayton,122.4,99.1,.9189,69.3,23.30,56.0,49.0,13.9,16.6,30.4,22.5,42.1,34.4,+0.44,.5916,2024-12-01
Nevada,119.9,97.2,.9178,65.1,22.70,60.2,44.7,16.7,17.1,30.5,29.5,48.8,41.6,+1.0,.6129,2024-12-01
Texas Tech,121.9,98.8,.9176,69.0,23.10,60.2,47.5,16.1,21.6,38.1,27.0,30.1,35.4,-0.16,.7274,2024-12-01
BYU,117.8,95.7,.9165,70.3,22.10,57.6,48.1,15.9,19.9,38.4,19.3,30.1,30.0,+0.06,.7164,2024-12-01
West Virginia,112.9,91.8,.9156,67.5,21.10,52.6,44.5,17.3,20.3,28.2,32.5,31.8,32.7,+0.9,.7337,2024-12-01
Saint Mary's,115.8,94.7,.9099,65.2,21.10,52.6,46.4,16.3,16.8,43.8,24.0,33.9,27.5,+0.7,.617,2024-12-01
UCLA,109.1,89.8,.9033,68.2,19.30,53.4,41.8,16.5,29.1,39.4,27.9,34.0,28.7,-0.31,.7122,2024-12-01
