team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,124.5,87.6,.9828,61.8,36.90,52.6,45.0,14.1,22.4,37.9,28.7,26.5,34.9,+6.1,.7741,2025-02-16
Auburn,130.3,92.4,.9812,69.2,37.90,56.2,45.0,13.1,17.2,35.4,29.7,32.2,37.4,+10.6,.8034,2025-02-16
Duke,125.4,90.5,.9770,66.2,34.90,57.2,44.4,14.9,18.1,34.4,26.3,32.0,25.1,+5.6,.7025,2025-02-16
Florida,123.6,93.4,.9616,70.1,30.20,54.7,44.2,15.6,17.9,38.3,28.9,31.3,30.0,+6.5,.7453,2025-02-16
Tennessee,116.0,87.9,.9604,64.8,28.10,52.8,43.5,16.4,19.0,36.7,28.7,32.3,27.3,+6.2,.7569,2025-02-16
Alabama,126.4,96.1,.9589,75.1,30.30,55.9,46.4,17.3,13.4,36.7,29.4,42.1,31.6,+8.2,.8319,2025-02-16
Texas Tech,124.1,95.7,.9521,66.6,28.40,56.3,47.8,15.6,18.8,35.4,28.3,30.0,33.2,+4.2,.7274,2025-02-16
Illinois,121.5,94.4,.9480,72.5,27.10,52.2,45.0,16.2,12.9,36.8,25.3,35.2,26.9,+2.4,.7618,2025-02-16
Iowa St.,118.9,92.9,.9449,69.6,26.00,54.2,48.1,16.2,21.8,34.1,27.6,39.0,26.3,+4.8,.7326,2025-02-16
Arizona,119.6,93.4,.9449,70.9,26.20,52.5,47.0,16.7,17.6,36.3,27.3,35.3,27.7,+3.6,.78,2025-02-16
Purdue,124.1,97.3,.9425,66.5,26.80,56.4,51.2,15.6,18.8,30.9,29.6,36.5,29.6,+4.7,.7976,2025-02-16
Maryland,119.7,94.2,.9402,70.8,25.50,55.5,47.5,15.0,20.1,32.6,26.9,32.0,27.1,+3.2,.6956,2025-02-16
Gonzaga,123.2,97.3,.9378,71.1,25.90,55.9,47.3,13.4,17.9,34.0,25.5,30.9,29.1,+0.7,.6567,2025-02-16
Kansas,115.3,91.2,.9368,69.1,24.10,53.2,44.4,16.2,15.8,30.1,26.9,24.0,28.9,+3.4,.7851,2025-02-16
Wisconsin,123.6,98.2,.9336,68.3,25.40,55.5,48.1,14.3,14.9,27.9,26.6,35.5,28.6,+5.3,.7414,2025-02-16
Michigan,119.2,94.8,.9327,70.8,24.40,56.9,46.8,20.2,17.2,34.4,29.6,36.1,28.3,+5.2,.7877,2025-02-16
Missouri,123.0,98.1,.9310,68.5,24.90,55.8,48.6,15.3,20.9,32.9,31.3,48.3,31.9,+3.3,.6884,2025-02-16
Kentucky,124.8,99.7,.9294,71.5,25.10,56.3,48.8,14.6,13.5,29.9,26.9,34.0,31.0,+3.7,.7705,2025-02-16
UCLA,116.7,93.5,.9277,65.9,23.20,53.2,49.8,15.7,23.6,31.5,29.5,33.4,36.2,+3.8,.7122,2025-02-16
Michigan St.,116.8,93.9,.9248,68.9,22.90,51.4,45.7,17.1,16.2,36.9,25.9,38.6,31.9,+4.2,.748,2025-02-16
Saint Mary's,115.6,93.1,.9233,62.9,22.50,51.6,45.9,14.8,18.0,39.6,26.2,31.9,25.1,+3.2,.617,2025-02-16
Texas A&M,114.8,92.6,.9222,66.9,22.20,48.3,47.1,17.8,21.1,42.4,28.3,40.7,34.1,+6.1,.7835,2025-02-16
St. John's,111.3,89.9,.9217,70.8,21.40,49.2,46.6,15.6,22.1,37.5,28.7,30.6,29.7,+4.3,.6834,2025-02-16
Louisville,118.4,95.8,.9202,69.6,22.60,53.3,49.9,16.1,18.8,33.3,26.2,33.6,26.9,+3.6,.6978,2025-02-16
Clemson,118.3,96.6,.9119,64.8,21.70,54.5,49.1,15.9,19.9,33.8,30.3,27.8,27.3,+3.2,.6621,2025-02-16
Mississippi,115.7,94.6,.9105,68.9,21.10,51.7,48.4,12.6,21.1,25.0,30.3,35.3,38.3,+4.0,.7517,2025-02-16
Baylor,121.4,99.5,.9079,65.9,21.90,52.9,52.1,16.4,19.4,35.6,30.9,31.4,33.2,+2.6,.7624,2025-02-16
Marquette,115.7,94.9,.9072,68.8,20.80,51.3,50.7,12.9,23.2,30.8,30.8,26.9,30.1,+3.9,.717,2025-02-16
BYU,120.9,99.2,.9067,67.6,21.70,56.8,50.6,17.6,17.8,33.9,25.0,29.9,29.5,+0.7,.7164,2025-02-16
Mississippi St.,117.9,97.3,.9008,68.3,20.60,52.3,50.7,15.3,19.3,34.9,29.2,31.7,34.4,+3.8,.7429,2025-02-16
West Virginia,110.8,92.3,.8917,65.0,18.50,50.6,45.6,15.9,19.9,25.6,31.3,26.5,31.7,+1.1,.7337,2025-02-16
Creighton,115.3,96.4,.8873,68.9,18.90,55.7,45.5,18.4,12.0,25.5,27.9,29.7,17.7,+2.2,.7207,2025-02-16
Ohio St.,116.9,97.8,.8868,68.3,19.10,54.6,47.2,15.5,16.7,28.7,29.4,35.2,40.0,+0.5,.7481,2025-02-16
Texas,116.9,98.4,.8783,67.8,18.50,53.4,48.2,14.1,17.7,30.4,29.8,35.6,34.3,+0.5,.7132,2025-02-16
New Mexico,113.0,95.4,.8752,74.1,17.60,51.2,48.8,15.7,20.3,32.1,25.9,38.8,34.5,+3.3,.622,2025-02-16
Oregon,115.9,98.0,.8725,69.0,17.90,52.4,49.6,16.2,18.0,30.4,29.3,35.1,28.3,+3.2,.7641,2025-02-16
Connecticut,120.0,101.6,.8717,64.9,18.40,55.9,48.1,16.9,16.2,34.0,27.8,30.9,41.1,+1.0,.6903,2025-02-16
Vanderbilt,118.2,100.5,.8657,70.5,17.70,52.5,52.8,14.2,20.9,32.1,29.4,31.7,36.2,+1.4,.6933,2025-02-16
VCU,113.1,96.3,.8639,67.7,16.80,52.6,45.3,17.0,21.8,36.6,29.2,31.5,37.8,+0.12,.5253,2025-02-16
Cincinnati,110.5,94.3,.8600,66.0,16.20,52.1,47.6,15.5,19.6,32.9,29.6,24.7,25.7,-0.14,.7119,2025-02-16
Nebraska,113.3,96.9,.8578,68.5,16.40,52.4,49.8,16.6,18.2,26.7,29.1,37.3,26.2,+1.8,.7184,2025-02-16
Georgia,112.6,96.4,.8572,67.1,16.20,52.2,46.6,19.1,18.6,36.8,32.3,38.7,27.9,+0.37,.7024,2025-02-16
Boise St.,115.4,99.1,.8527,66.8,16.30,52.9,48.9,17.1,16.3,33.1,22.7,38.5,30.5,-1.2,.6123,2025-02-16
Utah St.,120.5,103.6,.8504,69.3,16.90,56.3,51.5,16.4,20.7,33.9,30.3,37.7,34.1,+2.7,.5966,2025-02-16
SMU,117.2,101.2,.8449,70.2,16.00,54.7,46.7,16.6,17.5,37.2,31.0,36.2,32.0,+0.41,.6195,2025-02-16
Arkansas,110.2,95.4,.8401,69.5,14.80,52.8,47.9,16.1,18.2,27.8,28.1,32.4,29.1,-0.01,.7278,2025-02-16
San Diego St.,107.4,93.1,.8378,66.7,14.30,49.4,44.1,17.3,19.8,31.6,31.4,31.0,37.7,+1.7,.6431,2025-02-16
Xavier,114.4,99.4,.8350,69.4,15.00,53.2,49.9,16.5,17.4,26.5,27.0,38.5,28.8,-0.6,.6769,2025-02-16
USC,115.5,100.4,.8323,69.2,15.10,54.5,50.7,16.8,18.0,26.8,30.2,38.1,35.8,-1.8,.7217,2025-02-16
Memphis,113.0,98.6,.8277,71.2,14.40,54.4,48.6,19.5,19.7,32.6,33.8,40.1,32.6,+3.5,.6327,2025-02-16
Kansas St.,113.2,98.8,.8271,68.2,14.40,52.5,49.6,17.8,18.5,30.1,32.3,28.6,28.0,-1.3,.7327,2025-02-16
Drake,113.4,99.2,.8228,59.9,14.20,55.4,52.7,19.5,22.2,35.8,26.2,43.8,37.2,+1.4,.4992,2025-02-16
Indiana,113.1,99.0,.8216,69.2,14.10,51.4,49.9,17.1,15.9,32.0,28.9,33.7,29.1,-0.01,.749,2025-02-16
North Carolina,115.2,100.9,.8206,72.0,14.30,53.0,49.5,15.1,15.2,28.1,28.3,34.5,30.3,-0.02,.7094,2025-02-16
Villanova,119.4,104.8,.8185,64.1,14.60,55.7,51.1,15.8,16.5,31.4,28.0,26.5,32.2,-2.5,.6454,2025-02-16
Oklahoma,115.2,101.0,.8183,68.9,14.20,54.2,50.4,17.9,19.1,27.9,31.6,38.0,35.1,+1.0,.7187,2025-02-16
Santa Clara,114.6,100.7,.8162,69.2,13.90,55.2,48.9,17.0,17.0,32.8,28.4,29.0,32.1,-2.6,.5871,2025-02-16
San Francisco,111.2,97.8,.8138,68.2,13.40,53.5,47.9,17.2,18.8,28.9,28.7,36.6,35.1,+0.03,.5618,2025-02-16
Pittsburgh,115.6,101.8,.8117,67.5,13.80,52.9,50.8,14.5,17.9,28.6,29.7,34.2,30.9,-1.0,.6684,2025-02-16
Liberty,110.1,97.0,.8102,66.6,13.10,57.3,45.6,15.2,17.4,19.4,27.6,30.6,26.0,-0.6,.4795,2025-02-16
Arizona St.,110.5,97.5,.8093,69.2,13.00,51.8,48.5,18.6,16.7,26.2,29.9,35.2,30.6,-1.6,.7866,2025-02-16
McNeese St.,111.6,98.6,.8060,65.6,13.00,52.2,48.3,16.8,22.5,35.0,31.4,34.6,34.5,-1.4,.4709,2025-02-16
UC San Diego,111.8,99.1,.8012,67.0,12.70,55.3,49.6,14.3,23.6,26.1,28.1,34.8,31.0,-0.20,.4159,2025-02-16
Iowa,117.9,104.6,.7974,71.9,13.30,57.1,54.5,13.9,19.5,25.0,32.4,26.4,25.9,-1.3,.7086,2025-02-16
Northwestern,112.5,99.9,.7969,65.7,12.60,49.9,51.0,14.6,19.9,31.9,29.3,30.3,37.7,-3.0,.7294,2025-02-16
TCU,106.2,94.3,.7953,67.3,11.90,47.7,50.6,17.4,19.8,31.9,29.0,34.3,28.1,-0.15,.7495,2025-02-16
North Texas,110.3,98.1,.7943,61.3,12.20,51.9,47.6,17.4,19.9,34.1,27.2,36.9,38.6,-1.0,.5117,2025-02-16
George Mason,104.7,93.2,.7933,65.1,11.50,51.6,44.1,19.6,18.2,32.4,28.0,41.4,28.9,+0.21,.502,2025-02-16
Yale,115.1,103.1,.7809,68.6,12.00,55.5,48.5,15.4,16.3,34.6,25.6,32.4,31.0,-2.6,.4267,2025-02-16
UCF,114.3,102.5,.7776,72.2,11.80,48.8,51.7,16.4,18.6,32.0,34.2,35.2,30.9,-1.4,.7357,2025-02-16
Utah,111.2,99.8,.7769,69.7,11.40,52.9,47.6,17.8,16.1,33.2,28.9,36.7,33.4,-1.5,.6868,2025-02-16
Wake Forest,107.2,96.5,.7695,67.4,10.70,50.6,46.1,16.9,20.0,26.8,31.6,36.1,30.9,+2.3,.6405,2025-02-16
Butler,115.7,104.3,.7682,68.1,11.40,53.8,48.2,17.2,11.4,28.2,28.9,42.2,22.2,-4.3,.704,2025-02-16
Rutgers,114.3,103.1,.7660,69.5,11.20,50.3,51.7,15.7,16.9,30.9,31.0,35.4,29.8,-3.0,.7207,2025-02-16
Colorado St.,112.3,101.3,.7649,67.0,11.00,54.0,49.0,17.3,16.5,26.7,25.5,29.4,33.6,-2.2,.6265,2025-02-16
Penn St.,112.5,101.8,.7610,71.2,10.70,53.4,52.4,17.1,20.4,29.7,29.6,38.2,29.5,-4.1,.6562,2025-02-16
Dayton,116.5,105.6,.7567,66.3,10.90,53.7,51.3,15.5,18.5,29.8,29.5,39.4,29.0,-1.4,.5916,2025-02-16
LSU,108.5,98.8,.7474,69.4,9.70,52.1,46.6,19.1,16.5,31.2,33.8,34.2,29.8,-2.1,.6954,2025-02-16
UC Irvine,102.7,93.7,.7428,70.0,9.00,50.5,44.8,18.6,17.8,27.8,25.8,36.5,21.7,+0.9,.482,2025-02-16
South Carolina,108.1,98.9,.7364,65.8,9.20,49.2,50.8,18.9,15.8,31.2,27.4,43.0,29.8,-4.4,.7247,2025-02-16
Stanford,113.4,103.8,.7349,67.6,9.60,50.3,51.1,15.6,17.2,32.2,27.0,31.2,36.5,-2.3,.6114,2025-02-16
St. Bonaventure,107.7,98.6,.7346,64.6,9.10,51.2,49.9,16.7,18.9,29.0,25.6,31.8,24.6,-3.8,.5049,2025-02-16
Oregon St.,114.3,104.7,.7339,64.7,9.60,55.1,50.6,17.2,17.2,31.3,26.9,36.7,32.1,-2.6,.514,2025-02-16
Saint Joseph's,108.2,99.3,.7290,69.3,8.90,51.8,46.7,16.9,16.5,29.5,26.3,30.6,27.0,-4.5,.523,2025-02-16
Florida St.,108.0,99.2,.7266,70.8,8.80,50.8,47.8,17.6,19.8,30.5,30.9,39.8,36.8,-3.4,.6198,2025-02-16
Bradley,112.1,103.0,.7259,66.8,9.10,57.5,47.9,18.0,16.1,26.3,28.3,32.8,35.3,-1.1,.51,2025-02-16
Nevada,112.3,103.2,.7252,64.3,9.10,55.2,51.0,16.8,19.7,30.4,26.3,37.9,37.5,-3.5,.6129,2025-02-16
