team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Auburn,135.4,93.0,.9869,69.3,42.40,58.8,44.7,12.7,15.2,35.3,24.6,28.3,32.9,+3.5,.8034,2024-12-15
Tennessee,119.5,85.4,.9794,66.5,34.10,57.7,41.5,17.1,20.9,40.3,27.8,35.4,28.3,+2.9,.7569,2024-12-15
Duke,119.1,85.2,.9792,67.8,33.90,54.8,42.4,15.4,20.3,34.1,25.4,29.2,27.0,+2.1,.7025,2024-12-15
Houston,122.1,87.4,.9790,62.9,34.70,52.6,41.8,14.3,22.2,37.6,29.6,27.3,38.6,-0.14,.7741,2024-12-15
Gonzaga,125.9,95.0,.9624,71.5,30.90,54.3,46.2,12.6,17.2,34.1,24.1,33.7,30.6,+0.8,.6567,2024-12-15
Alabama,123.7,93.7,.9606,74.8,30.00,54.3,45.9,16.7,13.9,34.6,28.0,41.6,35.4,+3.1,.8319,2024-12-15
Maryland,118.5,90.7,.9559,71.9,27.80,55.8,44.3,13.7,22.2,33.2,25.0,32.1,27.7,+0.31,.6956,2024-12-15
Iowa St.,124.3,95.2,.9556,71.2,29.10,56.7,47.6,13.3,23.0,33.8,25.1,40.0,25.9,+1.7,.7326,2024-12-15
Illinois,117.2,90.0,.9544,72.5,27.20,51.6,41.4,15.4,14.3,36.4,25.3,39.9,27.7,+0.48,.7618,2024-12-15
Kentucky,122.8,95.0,.9502,73.1,27.80,57.2,45.0,13.1,13.9,31.5,24.8,31.6,23.5,+2.4,.7705,2024-12-15
Kansas,115.8,90.4,.9446,70.2,25.40,55.7,46.5,15.6,17.7,28.5,23.5,20.2,34.7,+2.1,.7851,2024-12-15
Florida,122.2,95.7,.9432,71.2,26.50,54.8,43.3,14.5,19.3,40.2,28.4,31.3,26.6,+1.8,.7453,2024-12-15
Mississippi,120.6,95.4,.9369,68.6,25.20,54.3,47.5,11.8,23.4,30.0,28.4,35.2,37.9,+2.0,.7517,2024-12-15
Michigan,116.0,91.8,.9369,71.2,24.20,58.0,43.9,21.4,20.9,36.2,32.6,33.2,26.0,+1.2,.7877,2024-12-15
