pen_bucket,n,bounce_rate,avg_mfe,avg_mae
just_clipped,18,0.8888888888888888,75.43055555555556,16.333333333333332
to_25,26,0.8461538461538461,72.9423076923077,36.15384615384615
to_50_CE,9,0.2222222222222222,39.75,151.91666666666666
to_75,8,0.625,37.5,115.09375
pierced,19,0.6842105263157895,49.1578947368421,107.05263157894737
