fvg_tf,n_tested,n_HELD,held_rate,n_HIT_9AM,hit_9am_rate
5,118.0,13.0,0.11016949152542373,61.0,0.5169491525423728
15,42.0,9.0,0.21428571428571427,19.0,0.4523809523809524
