touch_hour,n,rev_rate,avg_mfe,z_vs_50,p_vs_50
0,53,0.6415094339622641,24.35377358490566,2.060408459230335,0.039359508888249906
1,29,0.7586206896551724,29.862068965517242,2.7854300726557777,0.005345676872654304
2,20,0.8,34.4625,2.683281572999748,0.007290358091535776
3,35,0.8,38.34285714285714,3.54964786985977,0.0003857467556820371
4,35,0.8571428571428571,28.335714285714285,4.225771273642582,2.381237684767612e-05
5,11,0.6363636363636364,40.11363636363637,0.9045340337332908,0.36571229628151336
6,14,1.0,52.67857142857143,3.7416573867739413,0.00018281063298175582
7,19,0.8947368421052632,80.78947368421052,3.4412360080584263,0.0005790632172191224
8,36,0.9444444444444444,71.64583333333333,5.333333333333333,9.642606735305037e-08
9,77,0.987012987012987,85.43831168831169,8.547043234472847,0.0
10,79,0.9367088607594937,68.0253164556962,7.7631065163895645,8.43769498715119e-15
11,43,0.8837209302325582,57.133720930232556,5.032452820975954,4.842438015018047e-07
12,14,1.0,81.64285714285714,3.7416573867739413,0.00018281063298175582
13,24,0.875,51.927083333333336,3.6742346141747673,0.00023856345402872847
14,11,0.9090909090909091,51.15909090909091,2.7136021011998723,0.006655605482949412
15,18,0.8888888888888888,80.80555555555556,3.299831645537221,0.0009674284502478869
16,7,0.8571428571428571,100.17857142857143,1.889822365046136,0.05878172135535875
18,18,0.8888888888888888,38.708333333333336,3.299831645537221,0.0009674284502478869
19,11,0.8181818181818182,42.95454545454545,2.1105794120443457,0.034808478811866994
20,8,0.875,29.90625,2.1213203435596424,0.03389485352468924
21,7,0.8571428571428571,30.357142857142858,1.889822365046136,0.05878172135535875
22,3,0.6666666666666666,46.75,0.5773502691896256,0.5637028616507731
23,4,0.75,50.9375,1.0,0.31731050786291415
