days_bucket,n,rev_rate,avg_mfe
next_day,299,0.8561872909698997,49.28846153846154
2-3d,141,0.9148936170212766,63.111702127659576
4-7d,72,0.8194444444444444,56.229166666666664
8-30d,64,0.875,66.7265625
