touch_position,n,rev_rate,avg_mfe,avg_mae
approached_CE,3,0.6666666666666666,146.33333333333334,-11.833333333333334
edge_near,27,1.0,55.148148148148145,-27.84259259259259
filled,40,0.85,51.23125,-79.8875
through_CE,8,0.875,48.28125,-49.125
