fvg_tf_min,n,rev_rate,avg_mfe,avg_mae,z_vs_50,p_vs_50
5,576,0.8680555555555556,55.47743055555556,-62.841579861111114,17.666666666666668,0.0
15,183,0.8524590163934426,49.85792349726776,-58.91530054644809,9.535954395313988,0.0
60,78,0.8974358974358975,55.94230769230769,-56.09935897435897,7.020117611696494,2.2168933355715126e-12
