touch_position,n,rev_rate,avg_mfe,avg_mae
approached_CE,23,0.9130434782608695,57.858695652173914,-47.16304347826087
edge_near,70,0.7857142857142857,42.582142857142856,-34.31071428571428
filled,454,0.8722466960352423,56.894823788546255,-70.00440528634361
through_CE,29,0.9655172413793104,62.525862068965516,-32.008620689655174
