touch_ordinal,n,rev_rate,avg_mfe
1,576,0.8680555555555556,55.47743055555556
2,565,0.8814159292035398,51.12787610619469
3,559,0.8711985688729875,49.56305903398927
4,556,0.8579136690647482,47.94019784172662
5,552,0.8641304347826086,47.92527173913044
6,545,0.8403669724770643,46.74908256880734
