touch_hour,n,rev_rate,avg_mfe,z_vs_50,p_vs_50
0,11,0.6363636363636364,14.613636363636363,0.9045340337332908,0.36571229628151336
1,2,1.0,61.375,1.414213562373095,0.15729920705028522
2,3,1.0,22.0,1.7320508075688774,0.08326451666355039
3,4,1.0,57.9375,2.0,0.04550026389635842
4,7,0.8571428571428571,45.57142857142857,1.889822365046136,0.05878172135535875
5,1,1.0,17.25,1.0,0.31731050786291415
6,1,0.0,7.75,-1.0,0.31731050786291415
7,4,1.0,45.875,2.0,0.04550026389635842
8,1,1.0,52.25,1.0,0.31731050786291415
9,13,1.0,109.23076923076923,3.605551275463989,0.00031149097676741455
10,10,1.0,51.875,3.162277660168379,0.0015654022580025018
11,1,1.0,41.25,1.0,0.31731050786291415
13,4,1.0,42.1875,2.0,0.04550026389635842
14,3,1.0,84.75,1.7320508075688774,0.08326451666355039
15,4,0.75,48.9375,1.0,0.31731050786291415
16,2,1.0,201.125,1.414213562373095,0.15729920705028522
18,1,0.0,7.25,-1.0,0.31731050786291415
19,2,1.0,35.875,1.414213562373095,0.15729920705028522
20,2,1.0,26.875,1.414213562373095,0.15729920705028522
22,2,1.0,34.375,1.414213562373095,0.15729920705028522
