touch_hour,n,rev_rate,avg_mfe,z_vs_50,p_vs_50
0,20,0.65,14.5625,1.341640786499874,0.17971249487899987
1,11,0.8181818181818182,35.88636363636363,2.1105794120443457,0.034808478811866994
2,10,0.9,42.8,2.5298221281347035,0.011412036386001745
3,10,0.9,31.075,2.5298221281347035,0.011412036386001745
4,10,0.8,31.8,1.8973665961010278,0.05777957112359733
5,3,1.0,18.25,1.7320508075688774,0.08326451666355039
6,3,1.0,68.16666666666667,1.7320508075688774,0.08326451666355039
7,7,0.7142857142857143,35.5,1.133893419027682,0.25683925795785667
8,10,0.9,66.6,2.5298221281347035,0.011412036386001745
9,25,0.96,104.34,4.6,4.2249094049928715e-06
10,19,0.8421052631578947,47.80263157894737,2.9824045403173023,0.0028599382084641967
11,13,1.0,73.0,3.605551275463989,0.00031149097676741455
12,3,0.6666666666666666,39.833333333333336,0.5773502691896256,0.5637028616507731
13,6,1.0,37.916666666666664,2.449489742783178,0.01430587843542952
14,5,0.8,30.1,1.341640786499874,0.17971249487899987
15,6,1.0,60.583333333333336,2.449489742783178,0.01430587843542952
16,4,0.5,74.4375,0.0,1.0
18,6,0.8333333333333334,34.166666666666664,1.6329931618554523,0.10247043485974938
19,4,0.75,42.25,1.0,0.31731050786291415
20,5,0.8,16.35,1.341640786499874,0.17971249487899987
21,1,1.0,47.5,1.0,0.31731050786291415
22,1,1.0,58.75,1.0,0.31731050786291415
23,1,1.0,21.0,1.0,0.31731050786291415
