group,count,avg_move,median_move,win_rate,continuation_rate,chop_rate,avg_chop_score,avg_MFE,avg_MAE,tolerance_pts,tolerance_pct
aligned_2.0pt,100,2.0175,23.125,0.53,0.8,0.01,0.22999999999999993,94.2425,-108.1725,2.0,
aligned_5.0pt,143,-0.6171328671328671,25.5,0.5174825174825175,0.7832167832167832,0.006993006993006993,0.2363636363636363,100.88286713286713,-114.23601398601399,5.0,
aligned_10.0pt,157,7.318471337579618,29.75,0.554140127388535,0.7898089171974523,0.006369426751592357,0.23057324840764323,105.47292993630573,-110.78184713375796,10.0,
aligned_0.025pct,151,5.506622516556291,29.75,0.543046357615894,0.7947019867549668,0.006622516556291391,0.2291390728476821,105.66556291390728,-112.66390728476821,,0.00025
aligned_0.050pct,158,8.73259493670886,30.875,0.5506329113924051,0.7911392405063291,0.006329113924050633,0.23164556962025312,106.45569620253164,-110.98259493670886,,0.0005
aligned_0.100pct,164,6.1692073170731705,28.875,0.5426829268292683,0.7926829268292683,0.006097560975609756,0.23048780487804876,104.75,-111.74085365853658,,0.001
