group,count,avg_move,median_move,win_rate,continuation_rate,chop_rate,avg_chop_score,avg_MFE,avg_MAE
both,129,-9.796511627906977,15.25,0.5348837209302325,0.7906976744186046,0.007751937984496124,0.23100775193798453,93.65503875968992,-116.51744186046511
only_1h,26,5.596153846153846,8.0,0.7692307692307693,0.8076923076923077,0.0,0.15384615384615385,112.49038461538461,-107.5
only_5m,14,83.96428571428571,117.5,0.35714285714285715,0.7142857142857143,0.0,0.2857142857142857,167.48214285714286,-93.21428571428571
none,84,18.30654761904762,13.125,0.5476190476190477,0.7261904761904762,0.011904761904761904,0.23095238095238088,96.59821428571429,-95.79464285714286
