prior_5m_level,count,avg_abs_move,avg_move,continuation_rate
5m_L0,76.0,85.79276315789474,5.5230263157894735,0.7763157894736842
5m_L100,78.0,95.33653846153847,-12.849358974358974,0.7692307692307693
5m_L25,74.0,108.07770270270271,-2.89527027027027,0.7972972972972973
5m_L50,76.0,98.89802631578948,16.25986842105263,0.8026315789473685
5m_L75,72.0,117.39583333333333,-8.465277777777779,0.7777777777777778
