today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-05-07,2025-05-05,1h,L50,20028.25,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,True
2025-05-07,2025-05-05,1h,L75,20049.75,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,True
2025-05-07,2025-05-05,5m,L0,20022.75,2025-05-07 15:42:00-04:00,15,20008.0,19950.0,47.0,-169.0,False
2025-05-07,2025-05-05,5m,L25,20032.4375,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,False
2025-05-07,2025-05-05,5m,L50,20042.125,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,True
2025-05-07,2025-05-05,5m,L75,20051.8125,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,True
2025-05-07,2025-05-06,1h,L0,19746.75,2025-05-07 14:06:00-04:00,14,19737.75,19867.5,166.0,-59.25,True
2025-05-07,2025-05-06,1h,L25,19776.1875,2025-05-07 14:06:00-04:00,14,19737.75,19867.5,166.0,-59.25,True
2025-05-07,2025-05-06,1h,L50,19805.625,2025-05-07 11:01:00-04:00,11,19819.75,19848.5,37.0,-35.0,True
2025-05-07,2025-05-06,1h,L75,19835.0625,2025-05-07 10:55:00-04:00,10,19839.25,19844.0,21.5,-54.5,False
2025-05-07,2025-05-06,1h,L100,19864.5,2025-05-07 10:54:00-04:00,10,19849.25,19836.5,24.5,-64.5,True
