n_hits,count,avg_move,continuation_rate,chop_rate
"(-0.1, 0.0]",110.0,15.302272727272728,0.7454545454545455,0.00909090909090909
"(0.0, 1.0]",46.0,-5.304347826086956,0.8043478260869565,0.0
"(1.0, 3.0]",57.0,13.12719298245614,0.7543859649122807,0.017543859649122806
"(3.0, 6.0]",35.0,-18.357142857142858,0.7714285714285715,0.0
"(6.0, 100.0]",5.0,10.0,1.0,0.0
