dow,count,avg_move,continuation_rate,chop_rate
0,52.0,25.9375,0.7884615384615384,0.0
1,52.0,23.451923076923077,0.7307692307692307,0.019230769230769232
2,52.0,3.3701923076923075,0.7884615384615384,0.0
3,50.0,-17.675,0.82,0.02
4,47.0,-5.632978723404255,0.7021276595744681,0.0
