target,entry_hour,n,win_rate,avg_pnl,total_pnl
t1,9,88,0.4318181818181818,4.693181818181818,413.0
t1,10,61,0.39344262295081966,2.9139344262295084,177.75
t1,11,18,0.3888888888888889,9.083333333333334,163.5
t1,12,5,0.4,-1.0,-5.0
