month,n,win_rate,total_pnl,avg_pnl
2025-05,13,0.38461538461538464,-45.5,-3.5
2025-06,16,0.3125,-81.5,-5.09375
2025-07,13,0.3076923076923077,14.25,1.0961538461538463
2025-08,15,0.4,-46.25,-3.0833333333333335
2025-09,15,0.6,129.5,8.633333333333333
2025-10,19,0.47368421052631576,274.25,14.43421052631579
2025-11,14,0.35714285714285715,124.25,8.875
2025-12,14,0.5,289.75,20.696428571428573
2026-01,10,0.3,57.0,5.7
2026-02,9,0.6666666666666666,269.25,29.916666666666668
2026-03,18,0.3333333333333333,-167.75,-9.319444444444445
2026-04,16,0.375,-68.0,-4.25
